bag_time_ns,x,y,z
1785142086318063559,-0.009730624966323376,5.989907633513212,-0.19740593433380127
1785142086418068738,-0.010923892259597778,5.9887925973162055,-0.205827534198761
1785142086518060010,-0.017103737220168114,5.986196544952691,-0.22384904325008392
1785142086618068125,-0.018222635611891747,5.986319349147379,-0.22665126621723175
1785142086718107729,-0.019923416897654533,5.985794712789357,-0.23211301863193512
1785142086818069175,-0.022279677912592888,5.984728227369487,-0.23963283002376556
1785142086918066720,-0.021626336500048637,5.985570652410388,-0.24011825025081635
1785142087018096194,-0.02148548699915409,5.986049238592386,-0.2435576617717743
1785142087118086044,-0.022367846220731735,5.985624362714589,-0.24977751076221466
1785142087218082577,-0.024149661883711815,5.984442879445851,-0.2590096890926361
1785142087318079981,-0.022247808054089546,5.985165658406913,-0.25886836647987366
1785142087418075993,-0.021414728835225105,5.985398501157761,-0.2614484429359436
1785142087518110587,-0.021709224209189415,5.984928199090064,-0.2676146626472473
1785142087618088645,-0.022995546460151672,5.983682569116354,-0.2766169011592865
1785142087718089375,-0.020867710933089256,5.9827641397714615,-0.27718421816825867
1785142087818100756,-0.019866354763507843,5.981457130983472,-0.2815438210964203
1785142087918102368,-0.020153841003775597,5.980047399178147,-0.28819260001182556
1785142088358104893,-0.020361581817269325,5.979623973369598,-0.29034027457237244
1785142088458123677,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142088558110702,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142088658122754,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142088758117413,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142088858128893,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142088958119224,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142089058126868,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142089158116287,-0.020531775429844856,5.979328457266092,-0.29186055064201355
1785142089258115003,-0.020626448094844818,5.979176947847009,-0.2926493287086487
1785142089358124621,-0.020626448094844818,5.979176947847009,-0.2926493287086487
1785142089458115172,-0.020626448094844818,5.979176947847009,-0.2926493287086487
1785142089558185214,-0.020626448094844818,5.979176947847009,-0.2926493287086487
1785142089658151589,-0.020626448094844818,5.979176947847009,-0.2926493287086487
1785142089758137311,-0.021953238174319267,5.97752171382308,-0.3011303246021271
1785142089858105761,-0.018177315592765808,5.988503389060497,-0.371209979057312
1785142089958147939,-0.019595110788941383,5.988687824457884,-0.38020429015159607
1785142090058115537,-0.02008328028023243,5.9891130942851305,-0.38551896810531616
1785142090158116939,-0.0186779722571373,5.989960681647062,-0.3842587172985077
1785142090258133920,-0.01874900981783867,5.990486926399171,-0.38855037093162537
1785142090358148958,-0.01983228139579296,5.991006934083998,-0.3970634341239929
1785142090458144809,-0.019632088020443916,5.991696584969759,-0.4017625153064728
1785142090558149096,-0.016908468678593636,5.992775928694755,-0.40019622445106506
1785142090658164965,-0.015735063701868057,5.993621208239347,-0.4039802551269531
