bag_time_ns,actual_pos_x,actual_pos_y,actual_pos_z,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,integrated_squared_jerk_valid,is_finished,is_hover_stable,max_acceleration,max_acceleration_valid,max_jerk,max_jerk_valid,max_velocity,max_velocity_valid,motion_style,path_length,reference_acceleration_x,reference_acceleration_y,reference_acceleration_z,reference_jerk_x,reference_jerk_y,reference_jerk_z,reference_pos_x,reference_pos_y,reference_pos_z,reference_velocity_x,reference_velocity_y,reference_velocity_z,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,trajectory_duration,trajectory_profile,uav_id
1785125737157711728,-0.015082133002579212,3.002282510511577,-0.3701077997684479,nan,-1.9072932004928589,12.65850830078125,world,157642119,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737257670638,-0.01581147126853466,3.002589473268017,-0.3742872476577759,nan,-1.8073071241378784,12.660877227783203,world,257626646,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737357679340,-0.017384937033057213,3.0027952438686043,-0.38297659158706665,nan,-1.707313895225525,12.66593074798584,world,357620280,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737457684465,-0.017987728118896484,3.0026901077944785,-0.388112336397171,nan,-1.6072888374328613,12.668667793273926,world,457648869,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737557668962,-0.01672331988811493,3.001974066020921,-0.3869592845439911,nan,-1.5073027610778809,12.6671781539917,world,557632975,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737657674458,-0.016871454194188118,3.001424158574082,-0.39123061299324036,nan,-1.4073060750961304,12.669221878051758,world,657628934,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737757662662,-0.0179876908659935,3.0010737964184955,-0.39968109130859375,nan,-1.3073079586029053,12.673871994018555,world,757627286,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737857648842,-0.01829354465007782,3.002115717390552,-0.404213011264801,nan,-1.2073214054107666,12.675894737243652,world,857612254,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125737957669316,-0.016916457563638687,3.0053693749941885,-0.40252724289894104,nan,-1.1073083877563477,12.67339038848877,world,957626236,1785125737,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
1785125738057709818,-0.01680023781955242,3.0079744439572096,-0.4062483012676239,nan,-1.007297158241272,12.674424171447754,world,57638124,1785125738,nan,False,False,False,1.054908037185669,True,nan,False,2.109816074371338,True,normal,12.658896446228027,0.937610697733331,0.18283004197795316,0.4475380753477414,0.0,0.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,0.0,0.0,0.0,8.0,0.0,-0.015260392799973488,3.0018134262645617,-0.37045690417289734,11.23606798,5.19577393,5.0,8.0,trapezoidal,1
