formation,uav_count,label,nominal_spacing,multiplier,delta_min,requested_radius,requested_nearest_neighbor_spacing,executed_radius,executed_nearest_neighbor_spacing,safety_floor_applied,workspace_limit,workspace_margin,geometry_valid,failure_reason
Line,3,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,15.0,4.5,True,
Line,3,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,15.0,4.5,True,
Line,3,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,15.0,4.5,True,
Line,4,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,10.0,4.5,True,
Line,4,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,10.0,4.5,True,
Line,4,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,10.0,4.5,True,
Line,5,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,7.5,4.5,True,
Line,5,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,7.5,4.5,True,
Line,5,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,7.5,4.5,True,
Line,6,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,6.0,4.5,True,
Line,6,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,6.0,4.5,True,
Line,6,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,6.0,4.5,True,
Line,7,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,5.0,4.5,True,
Line,7,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,5.0,4.5,True,
Line,7,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,5.0,4.5,True,
Line,8,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,4.285714285714286,4.5,True,
Line,8,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,4.285714285714286,4.5,True,
Line,8,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,4.285714285714286,4.0625,True,
Triangle,3,compact,2.5,0.8,1.7320508075688772,1.1547005383792517,2.0,1.1547005383792517,2.0,False,15.0,4.5,True,
Triangle,3,normal,2.5,1.0,1.7320508075688772,1.4433756729740645,2.5,1.4433756729740645,2.5,False,15.0,4.5,True,
Triangle,3,spacious,2.5,1.25,1.7320508075688772,1.8042195912175807,3.125,1.8042195912175807,3.125,False,15.0,4.5,True,
Circle,4,compact,2.5,0.8,1.414213562373095,1.4142135623730951,2.0,1.4142135623730951,2.0,False,15.0,4.5,True,
Circle,4,normal,2.5,1.0,1.414213562373095,1.7677669529663689,2.5,1.7677669529663689,2.5,False,15.0,4.5,True,
Circle,4,spacious,2.5,1.25,1.414213562373095,2.209708691207961,3.125,2.209708691207961,3.125,False,15.0,4.5,True,
Circle,5,compact,2.5,0.8,1.1755705045849463,1.7013016167040798,2.0,1.70130161670408,2.0,False,15.0,4.5,True,
Circle,5,normal,2.5,1.0,1.1755705045849463,2.1266270208801,2.5,2.1266270208801,2.5,False,15.0,4.5,True,
Circle,5,spacious,2.5,1.25,1.1755705045849463,2.6582837761001246,3.125,2.658283776100125,3.1250000000000004,False,15.0,4.5,True,
Circle,6,compact,2.5,0.8,0.9999999999999997,2.000000000000001,2.0,2.000000000000001,2.0,False,15.0,4.5,True,
