formation,uav_count,label,nominal_spacing,multiplier,delta_min,requested_radius,requested_nearest_neighbor_spacing,executed_radius,executed_nearest_neighbor_spacing,safety_floor_applied,workspace_limit,workspace_margin,geometry_valid,failure_reason
Polygon,7,compact,2.0,0.8,0.5714285714285714,2.8000000000000003,1.6,3.5,2.0,True,15.0,4.5,True,
Polygon,7,normal,2.0,1.0,0.5714285714285714,3.5,2.0,3.5,2.0,False,15.0,4.5,True,
Polygon,7,spacious,2.0,1.25,0.5714285714285714,4.375,2.5,4.375,2.5,False,15.0,4.5,True,
Polygon,7,compact,2.0,0.8,0.6864604562796776,2.33079704062098,1.6,2.9134963007762247,1.9999999999999998,True,15.0,4.5,True,
Polygon,7,normal,2.0,1.0,0.6864604562796776,2.9134963007762247,2.0,2.9134963007762247,1.9999999999999998,False,15.0,4.5,True,
Polygon,7,spacious,2.0,1.25,0.6864604562796776,3.641870375970281,2.5,3.6418703759702806,2.4999999999999996,False,15.0,4.5,True,
Polygon,7,compact,2.0,0.8,0.7423074889580898,2.155441004974604,1.6,2.694301256218255,1.9999999999999998,True,15.0,4.5,True,
Polygon,7,normal,2.0,1.0,0.7423074889580898,2.694301256218255,2.0,2.694301256218255,1.9999999999999998,False,15.0,4.5,True,
Polygon,7,spacious,2.0,1.25,0.7423074889580898,3.367876570272819,2.5,3.3678765702728186,2.5,False,15.0,4.5,True,
Polygon,7,compact,2.0,0.8,0.8677674782351162,1.8438118967699892,1.6,2.3047648709624866,2.0,True,15.0,4.5,True,
Polygon,7,normal,2.0,1.0,0.8677674782351162,2.3047648709624866,2.0,2.3047648709624866,2.0,False,15.0,4.5,True,
Polygon,7,spacious,2.0,1.25,0.8677674782351162,2.8809560887031083,2.5,2.8809560887031083,2.5,False,15.0,4.5,True,
Polygon,8,compact,2.0,0.8,0.7071067811865475,2.2627416997969525,1.6,2.8284271247461903,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.0,1.0,0.7071067811865475,2.8284271247461903,2.0,2.8284271247461903,2.0,False,15.0,4.5,True,
Polygon,8,spacious,2.0,1.25,0.7071067811865475,3.5355339059327378,2.5,3.5355339059327378,2.5,False,15.0,4.5,True,
Polygon,8,compact,2.0,0.8,0.6006528992447181,2.663768046423976,1.6,3.32971005802997,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.0,1.0,0.6006528992447181,3.32971005802997,2.0,3.32971005802997,2.0,False,15.0,4.5,True,
Polygon,8,spacious,2.0,1.25,0.6006528992447181,4.162137572537462,2.5,4.162137572537462,2.5,False,15.0,4.5,True,
Polygon,8,compact,2.0,0.8,0.6614378277661477,2.418972627259054,1.6,3.0237157840738176,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.0,1.0,0.6614378277661477,3.0237157840738176,2.0,3.0237157840738176,2.0,False,15.0,4.5,True,
Polygon,8,spacious,2.0,1.25,0.6614378277661477,3.779644730092272,2.5,3.779644730092272,2.5,False,15.0,4.5,True,
Polygon,8,compact,2.0,0.8,0.6857195446576774,2.333315438454867,1.6,2.9166442980685834,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.0,1.0,0.6857195446576774,2.9166442980685834,2.0,2.9166442980685834,2.0,False,15.0,4.5,True,
Polygon,8,spacious,2.0,1.25,0.6857195446576774,3.645805372585729,2.5,3.645805372585729,2.5,False,15.0,4.5,True,
Polygon,8,compact,2.0,0.8,0.7653668647301795,2.090500743802203,1.6,2.613125929752753,1.9999999999999998,True,15.0,4.5,True,
Polygon,8,normal,2.0,1.0,0.7653668647301795,2.613125929752753,2.0,2.613125929752753,1.9999999999999998,False,15.0,4.5,True,
Polygon,8,spacious,2.0,1.25,0.7653668647301795,3.266407412190942,2.5,3.2664074121909414,2.5,False,15.0,4.5,True,
Sphere,2,compact,2.0,0.8,2.0,0.8,1.6,1.0,2.0,True,20.0,4.5,True,
Sphere,2,normal,2.0,1.0,2.0,1.0,2.0,1.0,2.0,False,20.0,4.5,True,
Sphere,2,spacious,2.0,1.25,2.0,1.25,2.5,1.25,2.5,False,20.0,4.5,True,
Sphere,3,compact,2.0,0.8,1.4142135623730951,1.131370849898476,1.6,1.414213562373095,2.0,True,14.80406170888428,4.5,True,
Sphere,3,normal,2.0,1.0,1.4142135623730951,1.414213562373095,2.0,1.414213562373095,2.0,False,14.80406170888428,4.5,True,
Sphere,3,spacious,2.0,1.25,1.4142135623730951,1.7677669529663687,2.5,1.7677669529663687,2.5,False,14.80406170888428,4.5,True,
Sphere,4,compact,2.0,0.8,1.1547005383792515,1.385640646055102,1.6,1.7320508075688774,2.0,True,4.791316528199347,2.873259502229308,True,
Sphere,4,normal,2.0,1.0,1.1547005383792515,1.7320508075688774,2.0,1.7320508075688774,2.0,False,4.791316528199347,2.873259502229308,True,
Sphere,4,spacious,2.0,1.25,1.1547005383792515,2.165063509461097,2.5,2.165063509461097,2.5,False,4.791316528199347,2.466574377786635,True,
Sphere,5,compact,2.0,0.8,0.9999999999999999,1.6000000000000003,1.6,2.0000000000000004,2.0,True,4.517296543867925,2.5076579182703442,True,
Sphere,5,normal,2.0,1.0,0.9999999999999999,2.0000000000000004,2.0,2.0000000000000004,2.0,False,4.517296543867925,2.5076579182703442,True,
Sphere,5,spacious,2.0,1.25,0.9999999999999999,2.5000000000000004,2.5,2.5000000000000004,2.5,False,4.517296543867925,2.00957239783793,True,
Sphere,6,compact,2.0,0.8,0.8944271909999159,1.788854381999832,1.6,2.23606797749979,2.0,True,4.610446478880993,2.317498599139733,True,
Sphere,6,normal,2.0,1.0,0.8944271909999159,2.23606797749979,2.0,2.23606797749979,2.0,False,4.610446478880993,2.317498599139733,True,
Sphere,6,spacious,2.0,1.25,0.8944271909999159,2.7950849718747373,2.5,2.7950849718747373,2.5,False,4.610446478880993,1.771873248924666,True,
Sphere,7,compact,2.0,0.8,0.8164965809277258,1.959591794226543,1.6,2.4494897427831788,2.0,True,4.791316528199347,2.1994415255911273,True,
Sphere,7,normal,2.0,1.0,0.8164965809277258,2.4494897427831788,2.0,2.4494897427831788,2.0,False,4.791316528199347,2.1994415255911273,True,
Sphere,7,spacious,2.0,1.25,0.8164965809277258,3.0618621784789735,2.5,3.0618621784789735,2.5,False,4.791316528199347,1.6243019069889093,True,
Sphere,8,compact,2.0,0.8,0.7559289460184545,2.1166010488516727,1.6,2.6457513110645903,2.0,True,4.999731080760279,2.118695744335873,True,
Sphere,8,normal,2.0,1.0,0.7559289460184545,2.6457513110645903,2.0,2.6457513110645903,2.0,False,4.999731080760279,2.118695744335873,True,
Sphere,8,spacious,2.0,1.25,0.7559289460184545,3.307189138830738,2.5,3.3071891388307377,2.5,False,4.999731080760279,1.5233696804198416,True,
Line,2,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,30.0,4.5,True,
Line,2,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,30.0,4.5,True,
Line,2,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,30.0,4.5,True,
Line,3,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,15.0,4.5,True,
Line,3,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,15.0,4.5,True,
Line,3,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,15.0,4.5,True,
Line,4,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,10.0,4.5,True,
Line,4,normal,2.25,1.0,1.0,2.25,2.25,2.25,2.25,False,10.0,4.5,True,
Line,4,spacious,2.25,1.25,1.0,2.8125,2.8125,2.8125,2.8125,False,10.0,4.5,True,
Line,5,compact,2.25,0.8,1.0,1.8,1.8,2.0,2.0,True,7.5,4.5,True,
