formation,uav_count,label,candidate_completed,geometry_valid,workspace_rejection,r_requested,r_safe,r_exec,final_target_coordinates,freshness_failures,controller_saturation_or_unexpected_failure,raw_log_dir
Triangle,3,compact,True,True,False,1.0392304845413265,1.1547005383792517,1.1547005383792517,"[[1.1547005383792517, 6.0, 3.0], [-0.5773502691896256, 7.0, 3.0], [-0.5773502691896264, 5.0, 3.0]]",False,none,runtime_raw/1_triangle_3u_compact
Triangle,3,normal,True,True,False,1.299038105676658,1.1547005383792517,1.299038105676658,"[[1.299038105676658, 6.0, 3.0], [-0.6495190528383287, 7.125, 3.0], [-0.6495190528383296, 4.875, 3.0]]",False,none,runtime_raw/1_triangle_3u_normal_prewarm2
Triangle,3,spacious,True,True,False,1.6237976320958225,1.1547005383792517,1.6237976320958225,"[[1.6237976320958225, 6.0, 3.0], [-0.8118988160479109, 7.40625, 3.0], [-0.8118988160479119, 4.59375, 3.0]]",False,none,runtime_raw/1_triangle_3u_spacious
Line,8,compact,True,True,False,1.8,2.0,2.0,"[[-7.0, 12.0, 3.0], [-5.0, 12.0, 3.0], [-3.0, 12.0, 3.0], [-1.0, 12.0, 3.0], [1.0, 12.0, 3.0], [3.0, 12.0, 3.0], [5.0, 12.0, 3.0], [7.0, 12.0, 3.0]]",False,none,runtime_raw/2_line_8u_compact_prewarm2
Line,8,normal,True,True,False,2.25,2.0,2.25,"[[-7.875, 12.0, 3.0], [-5.625, 12.0, 3.0], [-3.375, 12.0, 3.0], [-1.125, 12.0, 3.0], [1.125, 12.0, 3.0], [3.375, 12.0, 3.0], [5.625, 12.0, 3.0], [7.875, 12.0, 3.0]]",False,none,runtime_raw/2_line_8u_normal_prewarm
Line,8,spacious,True,True,False,2.8125,2.0,2.8125,"[[-9.84375, 12.0, 3.0], [-7.03125, 12.0, 3.0], [-4.21875, 12.0, 3.0], [-1.40625, 12.0, 3.0], [1.40625, 12.0, 3.0], [4.21875, 12.0, 3.0], [7.03125, 12.0, 3.0], [9.84375, 12.0, 3.0]]",False,none,runtime_raw/2_line_8u_spacious_prewarm2
Sphere,8,compact,True,True,False,2.3811761799581315,2.6457513110645903,2.6457513110645903,"[[0.0, 20.64575131106459, 5.0], [-1.3653418565432884, 19.889822365046136, 6.250764983257188], [0.20898745474700692, 19.133893419027682, 2.618695744335873], [1.5932669349647717, 18.37796447300923, 7.078134579638869], [-2.578585191029564, 17.62203552699077, 4.543884587252435], [2.0169609352743056, 16.866106580972318, 3.716974552137366], [-0.48069376693056, 16.110177634953864, 6.78815685302088], [0.0, 15.35424868893541, 5.0]]",False,none,runtime_raw/3_sphere_8u_compact_prewarm2
Sphere,8,normal,True,True,False,2.976470224947664,2.6457513110645903,2.976470224947664,"[[0.0, 20.976470224947665, 5.0], [-1.5360095886111995, 20.126050160676904, 6.407110606164337], [0.2351108865903828, 19.275630096406143, 2.3210327123778574], [1.7924253018353682, 18.425210032135382, 7.337901402093727], [-2.9009083399082596, 17.57478996786462, 4.48687016065899], [2.269081052183594, 16.724369903593857, 3.556596371154537], [-0.5407804877968799, 15.873949839323098, 7.0116764596484895], [0.0, 15.023529775052335, 5.0]]",False,none,runtime_raw/3_sphere_8u_normal_prewarm2
Sphere,8,spacious,True,True,False,3.7205877811845802,2.6457513110645903,3.7205877811845802,"[[0.0, 21.72058778118458, 5.0], [-1.9200119857639995, 20.657562700846128, 6.758888257705421], [0.2938886082379785, 19.594537620507676, 1.6512908904723216], [2.24053162729421, 18.531512540169224, 7.922376752617159], [-3.626135424885325, 17.468487459830776, 4.358587700823738], [2.8363513152294924, 16.405462379492324, 3.195745463943171], [-0.6759756097461, 15.342437299153872, 7.514595574560612], [0.0, 14.27941221881542, 5.0]]",False,none,runtime_raw/3_sphere_8u_spacious_prewarm2
