uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,6.343432825710098,0,0,0,0.0,0.0,0.0
1,3,3.804327234864376,0,0,0,0.0,0.0,0.0
1,4,9.862162997346125,0,0,0,0.0,0.0,0.0
1,5,4.811204224690615,0,0,0,0.0,0.0,0.0
1,6,3.424477330255518,0,0,0,0.0,0.0,0.0
1,7,4.190150763261028,0,0,0,0.0,0.0,0.0
1,8,6.233188096961835,0,0,0,0.0,0.0,0.0
2,3,3.420031246606281,0,0,0,0.0,0.0,0.0
2,4,4.7677591079674535,0,0,0,0.0,0.0,0.0
2,5,6.714283376553503,0,0,0,0.0,0.0,0.0
2,6,3.3883058194201383,0,0,0,0.0,0.0,0.0
2,7,2.1781444005800763,0,0,0,0.0,0.0,0.0
2,8,1.999771728724517,0,0,0,0.0,0.0,0.0
3,4,8.14346107106806,0,0,0,0.0,0.0,0.0
3,5,8.871160798850596,0,0,0,0.0,0.0,0.0
3,6,3.876056391059852,0,0,0,0.0,0.0,0.0
3,7,2.4124583377415316,0,0,0,0.0,0.0,0.0
3,8,6.091861970052368,0,0,0,0.0,0.0,0.0
4,5,8.570194734379973,0,0,0,0.0,0.0,0.0
4,6,7.12571590879577,0,0,0,0.0,0.0,0.0
4,7,5.664337171430828,0,0,0,0.0,0.0,0.0
4,8,3.352374932277882,0,0,0,0.0,0.0,0.0
5,6,1.312174566207075,0,0,0,0.0,1.3499987125396729,0.0
5,7,3.517748623937514,0,0,0,0.0,0.0,0.0
5,8,5.839468867657306,0,0,0,0.0,0.0,0.0
6,7,2.1143290101890213,0,0,0,0.0,0.0,0.0
6,8,4.741289953862875,0,0,0,0.0,0.0,0.0
7,8,2.3681709934531394,0,0,0,0.0,0.0,0.0
