hypothesis,scenario,metric,variant_a,variant_b,test,n,paired_median_difference,ci_low,ci_high,rank_biserial,statistic,p_value,p_value_holm,a_only,b_only
H4,s1_crossing_4,safety_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s1_crossing_4,actual_min_distance,E,Full,wilcoxon,15,1.931740415485567,1.8739262161532215,1.9631047755525421,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s1_crossing_4,mission_duration,E,Full,wilcoxon,15,-2.0622551441192627,-2.6008565425872803,-0.11878228187560858,-0.5,30.0,0.0946044921875,1.0,,
H4,s1_crossing_4,tracking_rmse,E,Full,wilcoxon,15,-0.08743001276113704,-0.11657201879785595,-0.07233453045141325,-1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s1_crossing_4,mission_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s1_crossing_4,safety_success,E,Full,mcnemar_exact,15,,,,,,0.0001220703125,0.005615234375,0,14
H4,s1_crossing_8,actual_min_distance,B0,Full,wilcoxon,15,0.5278873700387197,0.4882446778259266,0.533978494649695,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s1_crossing_8,mission_duration,B0,Full,wilcoxon,14,0.4159458875656128,0.35994887351989746,0.5293676853179932,0.5238095238095238,25.0,0.090576171875,1.0,,
H4,s1_crossing_8,tracking_rmse,B0,Full,wilcoxon,15,-0.0237611454243144,-0.051590864901047584,-0.009080087178774288,-0.8666666666666667,8.0,0.00152587890625,0.0640869140625,,
H4,s1_crossing_8,mission_success,B0,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s1_crossing_8,safety_success,B0,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s1_crossing_8,actual_min_distance,P,Full,wilcoxon,15,-0.002496998973084308,-0.027556646602910462,0.01059851843340831,-0.2833333333333333,43.0,0.359130859375,1.0,,
H4,s1_crossing_8,mission_duration,P,Full,wilcoxon,14,0.5244064331054688,0.29520678520202637,0.6216808557510376,0.5238095238095238,25.0,0.090576171875,1.0,,
H4,s1_crossing_8,tracking_rmse,P,Full,wilcoxon,15,-0.0022383681006264977,-0.0179788404158326,0.006218340340525819,-0.2,48.0,0.52447509765625,1.0,,
H4,s1_crossing_8,mission_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s1_crossing_8,safety_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s1_crossing_8,actual_min_distance,E,Full,wilcoxon,15,0.48779944388951146,0.45609818006728786,0.5297941256087859,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s1_crossing_8,mission_duration,E,Full,wilcoxon,14,-0.10190975666046143,-0.20134317874908447,-0.024125337600708008,-0.6,21.0,0.0494384765625,1.0,,
H4,s1_crossing_8,tracking_rmse,E,Full,wilcoxon,15,-0.022182846823315394,-0.03089151617584973,-0.00684215923909115,-0.65,21.0,0.02557373046875,0.99737548828125,,
H4,s1_crossing_8,mission_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s1_crossing_8,safety_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,1,0
H4,s2_dense_local_bias,actual_min_distance,B0,Full,wilcoxon,15,0.4026932232716718,0.3752061407523911,0.4157400608673828,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s2_dense_local_bias,mission_duration,B0,Full,wilcoxon,15,-3.0520489215850812,-3.3531837463378906,-0.2633328437805176,-0.9666666666666667,2.0,0.00018310546875,0.00823974609375,,
H4,s2_dense_local_bias,tracking_rmse,B0,Full,wilcoxon,15,-0.028581218982527856,-0.044969444543284276,-0.011325749941369812,-0.65,21.0,0.02557373046875,0.99737548828125,,
H4,s2_dense_local_bias,mission_success,B0,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s2_dense_local_bias,safety_success,B0,Full,mcnemar_exact,15,,,,,,6.103515625e-05,0.003662109375,0,15
H4,s2_dense_local_bias,actual_min_distance,P,Full,wilcoxon,15,0.4016816969600935,0.38129960202955826,0.40832165837048673,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s2_dense_local_bias,mission_duration,P,Full,wilcoxon,15,-2.2091803550720215,-3.0425355434417725,-0.15946412086486816,-0.8833333333333333,7.0,0.00115966796875,0.04986572265625,,
H4,s2_dense_local_bias,tracking_rmse,P,Full,wilcoxon,15,-0.03652777799677248,-0.04839807888963438,-0.00033266565308742724,-0.8666666666666667,8.0,0.00152587890625,0.0640869140625,,
H4,s2_dense_local_bias,mission_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s2_dense_local_bias,safety_success,P,Full,mcnemar_exact,15,,,,,,6.103515625e-05,0.003662109375,0,15
H4,s2_dense_local_bias,actual_min_distance,E,Full,wilcoxon,15,-0.0025669119678028984,-0.006111311798596697,0.0019740511221169044,-0.38333333333333336,37.0,0.207763671875,1.0,,
H4,s2_dense_local_bias,mission_duration,E,Full,wilcoxon,15,-0.04020571708679199,-0.31154465675354004,0.18688845634460272,-0.15,51.0,0.638671875,1.0,,
H4,s2_dense_local_bias,tracking_rmse,E,Full,wilcoxon,15,-0.009449717409213576,-0.025676280270095997,0.0003897235481014061,-0.38333333333333336,37.0,0.207763671875,1.0,,
H4,s2_dense_local_bias,mission_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s2_dense_local_bias,safety_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s3_staggered_dynamic_crossing,actual_min_distance,B0,Full,wilcoxon,15,2.1555493641010264,2.1344101113853347,2.1828799196956665,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s3_staggered_dynamic_crossing,mission_duration,B0,Full,wilcoxon,15,-1.1617677211761457,-4.520450115203856,0.3109011650085449,-0.5333333333333333,28.0,0.072998046875,1.0,,
H4,s3_staggered_dynamic_crossing,tracking_rmse,B0,Full,wilcoxon,15,-0.07709358534955424,-0.08898850965705118,-0.041183485336887315,-0.8166666666666667,11.0,0.00335693359375,0.13427734375,,
H4,s3_staggered_dynamic_crossing,mission_success,B0,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s3_staggered_dynamic_crossing,safety_success,B0,Full,mcnemar_exact,15,,,,,,6.103515625e-05,0.003662109375,0,15
H4,s3_staggered_dynamic_crossing,actual_min_distance,P,Full,wilcoxon,15,0.0007319190517276475,-0.006050879072711715,0.01653852820190238,0.15,51.0,0.638671875,1.0,,
H4,s3_staggered_dynamic_crossing,mission_duration,P,Full,wilcoxon,15,0.4792473316192627,-1.5403847694396955,0.6199557781219482,0.1,54.0,0.76153564453125,1.0,,
H4,s3_staggered_dynamic_crossing,tracking_rmse,P,Full,wilcoxon,15,0.015398598319208312,-0.005717079292575367,0.031439577253923434,0.55,27.0,0.063720703125,1.0,,
H4,s3_staggered_dynamic_crossing,mission_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s3_staggered_dynamic_crossing,safety_success,P,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s3_staggered_dynamic_crossing,actual_min_distance,E,Full,wilcoxon,15,1.8913499529872448,1.8877008454282624,1.906713636527121,1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s3_staggered_dynamic_crossing,mission_duration,E,Full,wilcoxon,15,-1.9198045730590803,-2.1005263328552246,-1.7806642055511475,-1.0,0.0,6.103515625e-05,0.003662109375,,
H4,s3_staggered_dynamic_crossing,tracking_rmse,E,Full,wilcoxon,15,-0.08002604137938119,-0.10054814583737282,-0.07271544432148014,-0.95,3.0,0.00030517578125,0.013427734375,,
H4,s3_staggered_dynamic_crossing,mission_success,E,Full,mcnemar_exact,15,,,,,,1.0,1.0,0,0
H4,s3_staggered_dynamic_crossing,safety_success,E,Full,mcnemar_exact,15,,,,,,0.25,1.0,0,3
