experiment_id,batch_id,phase,family,scenario,method,variant,assignment_mode,avoidance_mode,trial,seed,minimum_inter_agent_distance,actual_min_distance,mean_min_distance,closest_pair,collision_event_count,collision_count,violation_sample_count,violation_event_count,violation_count,risk_exposure_time,violation_duration,near_miss_duration,risk_integral,nominal_xy_crossings,nominal_proximity_crossings,predicted_min_distance,total_path_length,local_swap_iterations,assignment_compute_time_ms,paired_input_digest,run_git_commit,analysis_git_commit,iapf_activation_time,iapf_active_duration,iapf_activation_ratio,iapf_active_ratio,mean_repulsion_norm,max_repulsion_norm,mean_position_offset,max_position_offset,mean_acceleration_offset,max_acceleration_offset,position_saturation_ratio,acceleration_saturation_ratio,saturation_count,stale_neighbor_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,activation_event_count,iapf_activation_count,unnecessary_intervention_rate,intervention_latency,mean_trajectory_deviation,tracking_rmse,trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,completion_time,mission_duration,arrival_time_variance,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,safety_success,failure_reason
s1_crossing_4-B0-t01-ee918495c6,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,1,4201,0.7493998303581222,0.7493998303581222,3.16028544632052,2-3,0,0,16,1,1,0.7999992370605469,0.7999992370605469,0.6999993324279785,0.0248254507232744,0,1,0.755545027778234,18.240644235194356,0,1.073616000212496,9d637e26f8e743beb533feea1f2480e1a7c714ed80a9e81dc1a020012997abb2,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7677152990629814,1.6148767135451148,0,0,0.0,,0.4991412693316844,0.6552144337724006,0.4991412693316844,2.389647791421437,26.812238175076835,20.072063559835804,1.3357987879596056,17.535008668899536,17.535008668899536,0.1476502721563513,0.0,0,0.5,0.2919080685456797,True,False,none
s1_crossing_4-B0-t02-6278853463,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,2,4202,0.7524404113222393,0.7524404113222393,2.885568241929242,2-3,0,0,14,1,1,0.6999993324279785,0.6999993324279785,0.7999992370605469,0.0231273490593261,0,1,0.7384453095850013,18.25272276508599,0,1.251418998435838,dc20be0d0bd9dd36560cb4b5e8bfdfb68718684fa588d019c100d5fb339d4c57,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7614741597674698,1.6034476993997582,0,0,0.0,,0.5618585423149685,0.7822630477431992,0.5618585423149685,2.3688122881934683,21.005846991481587,18.37649226982365,1.1430825145000956,9.679483890533447,9.679483890533447,0.413540060033867,0.0,0,1.0,0.2249104532427518,True,False,none
s1_crossing_4-B0-t03-e3bf3f649a,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,3,4203,0.7540701019252608,0.7540701019252608,2.756801954540005,2-3,0,0,15,1,1,0.7499992847442627,0.7499992847442627,0.7999992370605469,0.0235068029213792,0,1,0.7289937019435634,18.273135260721965,0,1.1595500000112224,c8752f3cab1fdfcb913b1381e8773def4e86418e00297354f097b500bf66ac6f,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7635632091540363,1.609547365196093,0,0,0.0,,0.5267760219857192,0.7877323784789209,0.5267760219857192,2.347942213023427,20.4324502989472,18.513425736926155,1.103655832761056,8.21615195274353,8.21615195274353,0.0075764430630833,0.0,2,1.0,0.1386413491693075,True,False,none
s1_crossing_4-B0-t04-6ebedcd1da,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,4,4204,0.7535083078652874,0.7535083078652874,3.196274973345516,2-3,0,0,15,1,1,0.7499992847442627,0.7499992847442627,0.7499992847442627,0.0233931781021494,0,1,0.7333121893701984,18.231268059611363,0,1.022934000502573,d3a8d7e6bf2240efc053ff399e4efb6fe8e293c82eef6988a1b6389dbb91a44b,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7648219724874235,1.6127892207049472,0,0,0.0,,0.4601415979419975,0.6145966233290354,0.4601415979419975,2.3258741240416416,25.01631566490801,18.446768999851493,1.3561353570974628,19.49657964706421,19.49657964706421,0.3344750399070157,0.0,1,1.0,0.2652218690752158,True,False,none
s1_crossing_4-B0-t05-2c9b9c6ac6,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,5,4205,0.7114076987312079,0.7114076987312079,2.79008721986003,2-3,0,0,16,1,1,0.7999992370605469,0.7999992370605469,0.7499992847442627,0.0334593117359748,0,1,0.7348000641593249,18.330466064509714,0,1.0803269979078325,23056c122f71b4435228d6da29b4b9517e4157507e61326f5c8bcbc9d0f29bf2,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.763691714131182,1.5945882957665272,0,0,0.0,,0.5188259429181693,0.7700929304901336,0.5188259429181693,2.315005273357785,19.91788257534873,18.25457545839787,1.0911172719815665,8.273590326309204,8.273590326309204,0.0127787351293697,0.0,2,1.0,0.195124198176737,True,False,none
s1_crossing_4-B0-t06-6489d3bc7d,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,6,4206,0.7427724539696825,0.7427724539696825,2.8264588340005794,2-3,0,0,15,1,1,0.7499992847442627,0.7499992847442627,0.7499992847442627,0.02533401675825,0,1,0.7322418582595244,18.35335192564581,0,1.0921290013357066,1442875609a6abe1e37b608a49fe319c17ca72d54d90adf7d4e4f69fcf23bbd8,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7694919441263796,1.6248579341790044,0,0,0.0,,0.4977211387025772,0.7705510203391346,0.4977211387025772,2.3199031271842485,20.41894498040961,18.400074262746745,1.1097207918204068,8.21422266960144,8.21422266960144,0.0075668813812619,0.0,1,1.0,0.0357960362659662,True,False,none
s1_crossing_4-B0-t07-1a4f1c8fe2,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,7,4207,0.7194345127062958,0.7194345127062958,2.9633065192830594,2-3,0,0,16,1,1,0.7999992370605469,0.7999992370605469,0.6999993324279785,0.0309380158947896,0,1,0.7433294024818231,18.352772018584183,0,1.0930600001302082,c96f236cf0b925b481dab3aecc24abaf3ec757949b4f68700351e378ad38962b,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7664165316749745,1.6081740231581425,0,0,0.0,,0.5427113113178453,0.7386849519723657,0.5427113113178453,2.366897169447068,21.827309718892003,18.299139201924948,1.192805272315537,11.19235634803772,11.19235634803772,0.1466483940030656,0.0,1,0.5,0.2930960004537415,True,False,none
s1_crossing_4-B0-t08-ff9351b0cb,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,8,4208,0.7138225102015675,0.7138225102015675,2.924231873096572,2-3,0,0,16,1,1,0.7999992370605469,0.7999992370605469,0.7499992847442627,0.0335337994119666,0,1,0.7163897751703855,18.22167210467956,0,1.1536050005815923,f53ed8920057b220447050a6e237743808e63fa824b58c2e2b634f6a70414b24,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7696021319526742,1.6253956812686612,0,0,0.0,,0.5646137137953324,0.7817280761025422,0.5646137137953324,2.44187290866058,22.057978876168065,18.505421892887377,1.1919738444140051,10.393450498580933,10.393450498580933,1.1263993998995367,0.0,0,1.0,0.2482614160871599,True,False,none
s1_crossing_4-B0-t09-999dbd946a,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,9,4209,0.6997981688184655,0.6997981688184655,2.7832374256215973,2-3,1,1,16,1,1,0.7999992370605469,0.7999992370605469,0.7499992847442627,0.0366518451253791,0,1,0.7058710934294053,18.239959679969317,0,1.0386499998276122,aeb135446d356236a64fc5f13e08ad98e3301a7510a810e1c7404e0bcefcc9a4,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7683014168655019,1.62605534148722,0,0,0.0,,0.5095362690121433,0.7937441186966099,0.5095362690121433,2.396542296029411,20.28018705063413,18.471864206665582,1.0978960663491673,8.19422698020935,8.19422698020935,0.0061322958246421,0.0,2,1.0,0.0487284595680758,True,False,none
s1_crossing_4-B0-t10-5d114ed41c,exp09-formal-20260730,formal,s1,s1_crossing_4,B0,B0,distance_hungarian,off,10,4210,0.7018857853453517,0.7018857853453517,3.163855335153172,2-3,0,0,17,1,1,0.849999189376831,0.849999189376831,0.6999993324279785,0.0368409651311762,0,1,0.7203739410216289,18.30464896414344,0,1.1025899984815624,3e48c2be098c48dce6d3df0beb0d0784536bde4526055fb66a2aeefd6bd929dc,dea81bfda0b9f1d84997bca284d2497e993548b2,dea81bfda0b9f1d84997bca284d2497e993548b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7656586173351927,0.7572916857637733,0,0,0.0,,0.4999582329888554,0.658242148205826,0.4999582329888554,2.378719936810892,27.914219360796476,18.528130789211733,1.5065858330970938,18.313581466674805,18.313581466674805,0.2835872800605834,0.0,0,1.0,0.2812886034442651,True,False,none
