scenario,variant,n,mission_success_mean,mission_success_std,safety_success_mean,safety_success_std,actual_min_distance_mean,actual_min_distance_std,violation_count_mean,violation_count_std,tracking_rmse_mean,tracking_rmse_std,mission_duration_mean,mission_duration_std
s1_crossing_4,B0,15,1.0,0.0,0.0,0.0,0.7282940393150878,0.028913738335755734,1.0,0.0,0.7289750883277236,0.07620610168690035,12.892355887095134,6.152655657359647
s1_crossing_4,E,15,1.0,0.0,0.06666666666666667,0.25819888974716115,0.9857780408899486,0.011313732407513669,0.9333333333333333,0.25819888974716115,0.7686134213527651,0.020004549767066233,11.314280891418457,1.6083626579293226
s1_crossing_4,Full,15,1.0,0.0,1.0,0.0,2.9066719529709646,0.05286637629367407,0.0,0.0,0.6712151439951932,0.038078931999398144,10.116842699050903,3.0061578325111515
s1_crossing_4,P,15,1.0,0.0,1.0,0.0,2.9081400327547926,0.047875698112133956,0.0,0.0,0.6952405692619106,0.03579433051752048,9.172079435984294,2.372024796776713
s1_crossing_8,B0,15,1.0,0.0,1.0,0.0,1.3758412755390668,0.028457405637650375,0.0,0.0,0.55886954255781,0.014359206590474717,8.414675092697143,0.580111438459589
s1_crossing_8,E,15,1.0,0.0,1.0,0.0,1.413154977198687,0.022749962702900254,0.0,0.0,0.5472199419492714,0.013438650841518789,8.769501558939616,0.06258897303677308
s1_crossing_8,Full,15,0.9333333333333333,0.25819888974716115,0.9333333333333333,0.25819888974716115,1.8971138684476796,0.051793748841463275,0.0,0.0,0.5299065588519455,0.02263312261068341,8.746938058308192,0.3642300326045981
s1_crossing_8,P,15,1.0,0.0,1.0,0.0,1.9042249135847449,0.041029393918248495,0.0,0.0,0.5387075319545827,0.019544538973968673,8.392887258529663,0.7013196654024021
s2_dense_local_bias,B0,15,1.0,0.0,0.0,0.0,0.6901859437602306,0.03158409402685014,1.0,0.0,0.4645123509475174,0.013757733544019182,13.189272356033324,2.10329019857047
s2_dense_local_bias,E,15,1.0,0.0,1.0,0.0,1.081884874154231,0.011172003229124046,0.0,0.0,0.44681204643462585,0.019770671941643475,11.22795646985372,1.7793060429437488
s2_dense_local_bias,Full,15,1.0,0.0,1.0,0.0,1.079404768762726,0.00877379976297309,0.0,0.0,0.4422450996119533,0.022301586735451188,10.530080111821492,0.3402406417809912
s2_dense_local_bias,P,15,1.0,0.0,0.0,0.0,0.6919696390182815,0.03659992060372862,1.0,0.0,0.4736801938031395,0.01357351379424636,12.19166202545166,1.5714845339977916
s3_staggered_dynamic_crossing,B0,15,1.0,0.0,0.0,0.0,0.7552880129469904,0.025334178131173238,1.0,0.0,0.7249984237638328,0.051342680732535534,11.781839609146118,3.8131265423892535
s3_staggered_dynamic_crossing,E,15,1.0,0.0,0.8,0.41403933560541256,1.0063128798656555,0.009454337914092802,0.2,0.4140393356054126,0.761050920329035,0.04953664825856761,11.955861202875774,4.056430237595412
s3_staggered_dynamic_crossing,Full,15,1.0,0.0,1.0,0.0,2.901878257186889,0.022586823077821068,0.0,0.0,0.6734486309086448,0.010985560034245051,9.194210068384807,0.1498536839293479
s3_staggered_dynamic_crossing,P,15,1.0,0.0,1.0,0.0,2.9002909721394725,0.030915487792588153,0.0,0.0,0.6514896576538122,0.047408152621028016,10.745369831720987,4.877081223541936
