bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785207371778353274,2.608565092086792,3.0,1.0,world,778292800,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.278801679611206,1
1785207371878330343,2.608565092086792,3.0,1.0,world,878295517,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2891305685043335,1
1785207371978318233,2.608565092086792,3.0,1.0,world,978273168,1785207371,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2893133163452148,1
1785207372078344522,2.608565092086792,3.0,1.0,world,78283327,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2812941074371338,1
1785207372178367003,2.608565092086792,3.0,1.0,world,178307491,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2673933506011963,1
1785207372278344259,2.608565092086792,3.0,1.0,world,278307479,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,8.110783576965332,3.576184034347534,nan,7.825695037841797,1.2503196001052856,1
1785207372378333527,2.608565092086792,3.0,1.0,world,378293492,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,9.846830368041992,3.576184034347534,nan,7.825695037841797,1.2322156429290771,1
1785207372478307978,2.608565092086792,3.0,1.0,world,478287108,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.2140247821807861,1
1785207372578317073,2.608565092086792,3.0,1.0,world,578287978,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.1959714889526367,1
1785207372678355524,2.608565092086792,3.0,1.0,world,678283629,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.1784530878067017,1
1785207372778421598,2.608565092086792,3.0,1.0,world,778358449,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.1616841554641724,1
1785207372878375479,2.608565092086792,3.0,1.0,world,878329793,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.1455978155136108,1
1785207372978336164,2.608565092086792,3.0,1.0,world,978303853,1785207372,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,nan,7.825695037841797,1.130113959312439,1
1785207373078387787,2.608565092086792,3.0,1.0,world,78330579,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.1153000593185425,1
1785207373178353667,2.608565092086792,3.0,1.0,world,178309423,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.1010109186172485,1
1785207373278528993,2.608565092086792,3.0,1.0,world,278419415,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.0872032642364502,1
1785207373378360789,2.608565092086792,3.0,1.0,world,378308701,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.0738955736160278,1
1785207373478476763,2.608565092086792,3.0,1.0,world,478403034,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.0611134767532349,1
1785207373578340770,2.608565092086792,3.0,1.0,world,578303039,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.048764705657959,1
1785207373678434823,2.608565092086792,3.0,1.0,world,678343019,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.0368131399154663,1
1785207373778533263,2.608565092086792,3.0,1.0,world,778442923,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.0252611637115479,1
1785207373878368947,2.608565092086792,3.0,1.0,world,878315596,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.014078974723816,1
1785207373978349665,2.608565092086792,3.0,1.0,world,978307335,1785207373,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,1.003250241279602,1
1785207374078345850,2.608565092086792,3.0,1.0,world,78317366,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9927831888198853,1
1785207374178373723,2.608565092086792,3.0,1.0,world,178323277,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9826443195343018,1
1785207374278366329,2.608565092086792,3.0,1.0,world,278327636,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9727780222892761,1
1785207374378375657,2.608565092086792,3.0,1.0,world,378323339,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9632100462913513,1
1785207374478403030,2.608565092086792,3.0,1.0,world,478340972,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9539816975593567,1
1785207374578367703,2.608565092086792,3.0,1.0,world,578323109,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9450259804725647,1
1785207374678458095,2.608565092086792,3.0,1.0,world,678393973,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9362666606903076,1
1785207374778368376,2.608565092086792,3.0,1.0,world,778332127,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9277192950248718,1
1785207374878405556,2.608565092086792,3.0,1.0,world,878334402,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9194315075874329,1
1785207374978399185,2.608565092086792,3.0,1.0,world,978332368,1785207374,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9113807082176208,1
1785207375078378503,2.608565092086792,3.0,1.0,world,78326124,1785207375,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.9035137891769409,1
1785207375178375083,2.608565092086792,3.0,1.0,world,178329968,1785207375,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.8958275318145752,1
1785207375278386411,2.608565092086792,3.0,1.0,world,278329012,1785207375,1631385096,smooth,3.0,3.0,3.5,10.0,10.0,15.0,11.161091804504395,3.576184034347534,3.703763484954834,7.825695037841797,0.8883537650108337,1
