bag_time_ns,angular_velocity_0,angular_velocity_1,angular_velocity_2,orientation_variance_0,orientation_variance_1,orientation_variance_2,pose_frame,position_0,position_1,position_2,position_variance_0,position_variance_1,position_variance_2,q_0,q_1,q_2,q_3,quality,reset_counter,timestamp,timestamp_sample,velocity_0,velocity_1,velocity_2,velocity_frame,velocity_variance_0,velocity_variance_1,velocity_variance_2
1785207362030611724,-0.00018816465,-0.0048068883,0.0004854025,4.5638993e-05,4.4779026e-05,0.034110777,1,0.0063485703,-0.0011073577,0.19189717,0.12730832,0.12752874,0.09568805,0.7025832,-0.0011611885,0.000992916,0.7116,0,6,1785207362024341,1785207362024341,-0.014544144,-0.023490807,0.116145596,1,0.017947348,0.017690666,0.006724127
1785207362042631078,0.0011395137,0.0018420445,-4.341305e-05,4.3277214e-05,4.2539643e-05,0.03410486,1,0.006266611,-0.0009658588,0.19239146,0.106354356,0.106506884,0.08642683,0.7025816,-0.0011494335,0.0009871995,0.7116017,0,6,1785207362040341,1785207362040341,-0.014967437,-0.023592278,0.11666955,1,0.014441325,0.014261074,0.0062310738
1785207362050613189,-0.0009910164,0.003439941,-4.3414864e-05,4.3319582e-05,4.257925e-05,0.034105197,1,0.0062742983,-0.0007454205,0.19226824,0.10673258,0.10688626,0.08608892,0.70258427,-0.0011587475,0.0009925113,0.711599,0,6,1785207362048341,1785207362048341,-0.014929595,-0.023623247,0.11674202,1,0.014507226,0.014325239,0.0062214625
1785207362062673159,-0.0012573325,0.0005104644,-0.0005760436,4.336276e-05,4.2616197e-05,0.034105547,1,0.0062795505,-0.00053495716,0.19217749,0.10711307,0.10726789,0.08635386,0.70258844,-0.0011669019,0.0009914422,0.7115948,0,6,1785207362056341,1785207362056341,-0.014928619,-0.023474421,0.117080286,1,0.0145734465,0.014389906,0.006234114
1785207362070759898,0.0019384635,-0.002152698,-0.0021739397,4.3402444e-05,4.2652096e-05,0.03410589,1,0.0062816637,-0.0003331206,0.1921184,0.10749585,0.107651785,0.086619705,0.70259523,-0.0011584876,0.0009889839,0.7115881,0,6,1785207362064341,1785207362064341,-0.015075247,-0.023175009,0.1172724,1,0.014640165,0.014454841,0.006246773
1785207362082639037,0.0016721443,-0.0021526972,-0.0016413123,4.3439977e-05,4.2690877e-05,0.03410624,1,0.0062790466,-0.00013949076,0.19209021,0.107880935,0.10803796,0.08688645,0.7026032,-0.0011440475,0.0009850706,0.7115803,0,6,1785207362072341,1785207362072341,-0.015437683,-0.023092508,0.11754909,1,0.01470696,0.014519793,0.0062594404
1785207362090633521,0.0022047735,-0.0024190135,0.002087118,4.347976e-05,4.2732456e-05,0.03410659,1,0.006272675,4.410508e-05,0.19209136,0.108268335,0.10842644,0.087154105,0.70260245,-0.0011341317,0.0009826632,0.71158105,0,6,1785207362080341,1785207362080341,-0.015392994,-0.023215484,0.117670834,1,0.014773997,0.014584866,0.0062721153
1785207362102614252,7.43604e-05,0.0023746574,-0.00030988728,4.3555567e-05,4.281469e-05,0.034104243,1,0.0062523773,0.00038330042,0.19217822,0.109043695,0.109208055,0.08769211,0.702613,-0.0011343486,0.0009856515,0.7115707,0,6,1785207362096341,1785207362096341,-0.015396804,-0.02314633,0.11794353,1,0.014899132,0.014711197,0.0062974864
1785207362110740114,-0.0020561675,-2.2187829e-05,-0.00030988842,4.3595464e-05,4.2855263e-05,0.034104593,1,0.0062383637,0.00053899887,0.19226249,0.10943798,0.10960343,0.08796248,0.7026165,-0.0011398873,0.0009812951,0.71156716,0,6,1785207362104341,1785207362104341,-0.015441193,-0.023137437,0.11818561,1,0.014967078,0.014777289,0.0063101836
1785207362122815544,0.00087331067,0.00024412852,-0.0013751503,4.3677832e-05,4.293106e-05,0.03410528,1,0.0062039844,0.00082736555,0.19248419,0.11023364,0.11040121,0.08787866,0.7026235,-0.0011423073,0.0009707877,0.7115603,0,6,1785207362120341,1785207362120341,-0.015566508,-0.022993712,0.1187834,1,0.015103663,0.014910426,0.006312403
