trial_id,candidate_id,scenario_id,signed_displacement_id,seed,omega_c_multiplier,omega_o_multiplier,formal_hard_pass,hard_failures,termination_reason,metric_extraction_success,zero_crossings_x,zero_crossings_y,zero_crossings_z,zero_crossings_max,zero_crossings_fail,post_rms_m,post_rms_x_m,post_rms_y_m,post_rms_z_m,post_rms_pass,post_p2p_x_m,post_p2p_y_m,post_p2p_z_m,post_p2p_max_m,post_p2p_pass,last_first_ratio,last_first_pass,tracking_rmse_m,tracking_rmse_pass,maximum_tracking_error_m,maximum_tracking_error_pass,final_error_m,final_error_pass,command_jerk_p99_5_mps3,command_jerk_threshold_mps3,command_jerk_fail,acceleration_saturation_ratio,mission_success,growing_oscillation_fail,roll_pitch_peak_deg,zero_crossings_cross_metric_only,zero_crossings_formal_only,counterfactual_pass_excluding_zero_crossings,other_hard_failure_excluding_zc_jerk,jerk_sample_count,jerk_samples_above_threshold,jerk_fraction_above_threshold,jerk_peak_dt_s,jerk_p99_5_equals_max,debug_dt_median_s,debug_dt_p95_s,debug_header_dt_median_s,odometry_dt_median_s,terminal_position_step_min_nonzero_m,terminal_position_repeat_fraction
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,POS_X2_Y2_Z1,41001,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,3,15,15,1,0.08231119543144369,0.054554150825191834,0.06017134404734546,0.013356155009265236,1,0.19784855842590332,0.21913886070251465,0.06368899345397949,0.21913886070251465,1,0.6626749114219453,1,0.16917506740768248,1,0.27028046584386767,1,0.015176416374742985,1,6.539890126009071,15.0,0,0.0,1,0,8.758243253297467,1,1,1,0,163,0,0.0,0.02001214027404785,1,0.01999962329864502,0.020041465759277344,0.020000696182250977,0.010634541511535645,4.5299530029296875e-06,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,POS_X2_Y2_Z1,41002,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,3,19,19,1,0.07245560682441571,0.053798562442287264,0.04684881878359246,0.012677453136168476,1,0.1814432144165039,0.17069971561431885,0.06518054008483887,0.1814432144165039,1,0.725247102777589,1,0.16392748337909596,1,0.2646750582813466,1,0.005932074040174484,1,6.954406418379246,15.0,0,0.0,1,0,8.515955706477659,1,1,1,0,163,0,0.0,0.0199432373046875,1,0.020000219345092773,0.020050525665283203,0.01999974250793457,0.01100468635559082,7.152557373046875e-07,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,POS_X2_Y2_Z1,41003,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,3,18,18,1,0.08003973368283365,0.05320694906166464,0.058454519800723075,0.012587638953959278,1,0.1773597002029419,0.2277212142944336,0.05573701858520508,0.2277212142944336,1,0.6675971461400276,1,0.16222330505157143,1,0.2612430139678368,1,0.010771193541586399,1,5.663459729926501,15.0,0,0.0,1,0,8.829549086949877,1,1,1,0,163,0,0.0,0.01999831199645996,1,0.020000934600830078,0.02004173994064331,0.02000117301940918,0.009347915649414062,4.76837158203125e-07,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,NEG_X_3,41001,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,2,20,20,1,0.08387533432694722,0.08274637758550729,0.011532096530040028,0.0074242477434192265,1,0.2283034324645996,0.03732321411371231,0.023584961891174316,0.2283034324645996,1,0.9418000956074023,1,0.19509595012797576,1,0.33279347712232815,1,0.026462867856025696,1,6.705593779068343,15.0,0,0.0,1,0,13.14458366881272,1,1,1,0,163,0,0.0,0.019942283630371094,1,0.01999962329864502,0.020048391819000245,0.019999146461486816,0.010004520416259766,1.191161572933197e-06,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41002,A1-OC067-OO067,C0A-S-HX-3,NEG_X_3,41002,0.67,0.67,0,GROWING_OSCILLATION;ZERO_CROSSINGS,SUCCESS,1,3,1,24,24,1,0.08272038585532565,0.0812650077561178,0.013746265452076592,0.007049889117788829,1,0.22328782081604004,0.04100339859724045,0.0208510160446167,0.22328782081604004,1,1.0327317381745835,0,0.17973647016783503,1,0.3114866850148251,1,0.02476014941930771,1,6.207591369862558,15.0,0,0.0,1,1,13.326347974909716,0,0,0,1,163,0,0.0,0.019966840744018555,1,0.019998788833618164,0.020060110092163085,0.019998908042907715,0.011265158653259277,1.862645149230957e-09,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41003,A1-OC067-OO067,C0A-S-HX-3,NEG_X_3,41003,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,4,23,23,1,0.08352640502411426,0.08274006702998057,0.00900234366802032,0.007049783869705447,1,0.2585873603820801,0.030524169094860554,0.025200486183166504,0.2585873603820801,1,0.8964030443534892,1,0.1879433864663502,1,0.3185156658267666,1,0.02397044748067856,1,5.74957721150385,15.0,0,0.0,1,0,13.235946983469672,1,1,1,0,163,0,0.0,0.01999807357788086,1,0.019998788833618164,0.02004837989807129,0.019998908042907715,0.008952617645263672,1.0062940418720245e-06,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-POS-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,POS_X_3,41001,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,9,21,21,1,0.08116456458242478,0.08053819216912396,0.006880729732983673,0.007344501639015116,1,0.2529916763305664,0.019435471389442682,0.025285840034484863,0.2529916763305664,1,0.8207444363865957,1,0.19097192928054318,1,0.3213214615967427,1,0.009329517371952534,1,5.910622251794351,15.0,0,0.0,1,0,13.103888777021993,1,1,1,0,163,0,0.0,0.02001500129699707,1,0.01999950408935547,0.02004697322845459,0.019998788833618164,0.011431694030761719,1.4923571143299341e-06,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-POS-X-3-D125-S41002,A1-OC067-OO067,C0A-S-HX-3,POS_X_3,41002,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,3,19,19,1,0.08453078541953166,0.0837152212370832,0.009115406440567337,0.007356954688753798,1,0.2626478672027588,0.021410574670881033,0.024720430374145508,0.2626478672027588,1,0.8313975872579359,1,0.19702260177936232,1,0.32956418427163164,1,0.011029256507754326,1,5.859418065241058,15.0,0,0.0,1,0,13.390938603727802,1,1,1,0,163,0,0.0,0.019936561584472656,1,0.01999974250793457,0.020040524005889893,0.019999146461486816,0.010125160217285156,1.043081283569336e-07,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-POS-X-3-D125-S41003,A1-OC067-OO067,C0A-S-HX-3,POS_X_3,41003,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,5,23,23,1,0.08092368519375892,0.08032305626354871,0.0069560812575419845,0.006961493471939949,1,0.24790358543395996,0.014672050718218088,0.026255249977111816,0.24790358543395996,1,0.8704360148931636,1,0.18436304697800907,1,0.3094772742918275,1,0.013968016020953655,1,5.509736360535035,15.0,0,0.0,1,0,13.025749813812741,1,1,1,0,163,0,0.0,0.020029783248901367,1,0.01999974250793457,0.02004959583282471,0.019999980926513672,0.011160612106323242,1.942738890647888e-06,0.0
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-VU-2-POS-Z-2-D125-S41001,A1-OC067-OO067,C0A-S-VU-2,POS_Z_2,41001,0.67,0.67,0,ZERO_CROSSINGS,SUCCESS,1,3,7,10,10,1,0.03961151490657411,0.006884278574753764,0.004536810287082953,0.038743982424603016,1,0.022194967605173588,0.01850986946374178,0.1826496124267578,0.1826496124267578,1,0.40748609126715357,1,0.07907243491718237,1,0.1524827689867557,1,0.014797773212194443,1,5.17988695947189,15.0,0,0.0,1,0,0.2927333666856547,1,1,1,0,143,0,0.0,0.02003169059753418,1,0.019998788833618164,0.020034849643707275,0.01999986171722412,0.010075688362121582,7.487833499908447e-07,0.0
