trial_id,candidate_id,scenario_id,seed,axis,event_index,zero_crossings_cross_metric_only,left_index,right_index,time_s,bracket_dt_s,target_relative_interpolated_abs_m,target_relative_bracket_near_abs_m,target_relative_bracket_max_abs_m,centered_bracket_near_abs_m,centered_bracket_max_abs_m
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,6,1,162,163,3.252929165881107,0.01999187469482422,0.00188299560546875,0.000293731689453125,0.0031082630157470703,0.0012252674102783204,0.001589263916015625
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,7,1,163,164,3.2820074313310723,0.020002365112304688,0.00188299560546875,0.000293731689453125,0.002080678939819336,0.000197683334350586,0.001589263916015625
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,8,1,178,179,3.57698901091679,0.01999211311340332,0.00188299560546875,0.001184701919555664,0.0031163692474365234,0.0006982936859130859,0.0012333736419677735
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,9,1,187,188,3.75845227253589,0.020007848739624023,0.00188299560546875,0.0011255741119384766,0.0021915435791015625,0.00030854797363281256,0.0007574214935302734
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,10,1,199,200,3.989304740468509,0.019992589950561523,0.00188299560546875,0.001046895980834961,0.0021669864654541016,0.0002839908599853516,0.000836099624633789
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,11,1,205,206,4.115941825899457,0.019982337951660156,0.00188299560546875,0.0008749961853027344,0.0025963783264160156,0.0007133827209472657,0.0010079994201660156
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,12,1,220,221,4.405266579593827,0.019989013671875,0.00188299560546875,0.0005631446838378906,0.002012491226196289,0.00012949562072753912,0.0024461402893066406
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,13,1,226,227,4.535209454170975,0.020033836364746094,0.00188299560546875,0.000934600830078125,0.002664804458618164,0.0007818088531494141,0.0009483947753906249
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,14,1,238,239,4.76829357574679,0.020003318786621094,0.00188299560546875,0.00042057037353515625,0.002255678176879883,0.00037268257141113287,0.0014624252319335937
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41001,A1-OC067-OO067,C0A-S-DIAG-1,41001,z,15,1,247,248,4.952259156763269,0.019999027252197266,0.00188299560546875,0.0015635490417480469,0.002360820770263672,0.00031944656372070307,0.00047782516479492193
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,x,1,1,31,32,0.6264995528439552,0.019999265670776367,0.02827796411514282,0.02549457550048828,0.02864980697631836,0.00037184286117553783,0.0027833886146545403
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,x,2,1,115,116,2.3099407261334446,0.019950389862060547,0.02827796411514282,0.027866840362548828,0.02930760383605957,0.0004111237525939934,0.0010296397209167488
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,x,3,1,200,201,4.011118179607208,0.019982337951660156,0.02827796411514282,0.027380943298339844,0.028743982315063477,0.000466018199920655,0.0008970208168029778
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,y,1,1,30,31,0.6175325634974695,0.019989490509033203,0.020090685367584227,0.018639087677001953,0.023028850555419922,0.0014515976905822743,0.0029381651878356944
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,y,2,1,118,119,2.3689675019539114,0.020032644271850586,0.020090685367584227,0.01955556869506836,0.021802902221679688,0.0005351166725158681,0.00171221685409546
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,y,3,1,211,212,4.239017713657208,0.019973278045654297,0.020090685367584227,0.019919395446777344,0.02057194709777832,0.00017128992080688368,0.0004812617301940929
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,1,1,32,33,0.6461685616842044,0.020011186599731445,0.001989288330078125,0.0019366741180419922,0.002456188201904297,5.261421203613288e-05,0.0004668998718261718
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,2,1,35,36,0.7191064153603596,0.019980669021606445,0.001989288330078125,0.0018887519836425781,0.0022852420806884766,0.00010053634643554694,0.0002959537506103515
