[INFO] [1788070582.023291661] [uav2.ladrc_position_controller]: 已创建 7 个邻居 Odom 订阅
[INFO] [1788070582.033873396] [uav2.ladrc_position_controller]: LADRC 集群执行节点已初始化 (命名空间: /uav2), ENU偏移=[0.0, 6.0, 0.0]
[INFO] [1788070582.033907700] [uav2.ladrc_position_controller]: 等待 swarm_command 和 vehicle_odometry 消息...
[INFO] [1788070582.033920253] [uav2.ladrc_position_controller]: 控制模式: ladrc_acceleration
[WARN] [1788070582.053992422] [uav2.ladrc_position_controller]: 等待新鲜 VehicleOdometry（startup=WAIT_ESTIMATOR_READY armed=0 offboard=0）
[INFO] [1788070582.065151716] [uav2.ladrc_position_controller]: 已接收到 vehicle_odometry 消息
[INFO] [1788070593.833950800] [uav2.ladrc_position_controller]: 请求 ARM（第 1 次）
[INFO] [1788070593.933887388] [uav2.ladrc_position_controller]: 请求 OFFBOARD（第 1 次）
[INFO] [1788070594.053972818] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.01,-0.01,-0.27] Cmd[-0.1,-0.1,4.8]
[INFO] [1788070595.073957790] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.00,-0.02,-0.30] Cmd[0.0,0.1,8.0]
[INFO] [1788070596.093916434] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[0.02,-0.03,0.93] Cmd[-0.2,0.3,2.8]
[INFO] [1788070597.093942602] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.05,-0.04,1.37] Cmd[0.2,0.2,3.8]
[INFO] [1788070598.113915323] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.07,0.00,1.50] Cmd[0.4,-0.1,3.7]
[INFO] [1788070599.133899116] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[0.05,0.00,1.80] Cmd[-0.4,0.2,1.5]
[INFO] [1788070600.153897727] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.00,-0.04,1.69] Cmd[0.2,0.2,-1.0]
[INFO] [1788070601.173885648] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.02,0.00,1.59] Cmd[-0.1,-0.1,-0.4]
[INFO] [1788070602.133904587] [uav2.ladrc_position_controller]: 自动起飞稳定保持完成，进入 READY
[INFO] [1788070602.173893924] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[0.03,0.01,1.50] Cmd[-0.2,0.1,1.1]
[INFO] [1788070603.193871026] [uav2.ladrc_position_controller]: UAV2 mode=ladrc_acceleration Ref[-0.0,-0.0,1.5] Safe[-0.0,-0.0,1.5] Pos[-0.01,-0.04,1.49] Cmd[0.0,0.2,0.1]
