bag_time_ns,is_hover_stable,uav_id
1785139622857376931,False,5
1785139622877405288,False,5
1785139622897390803,False,5
1785139622917398811,False,5
1785139622937426637,False,5
1785139622957389610,False,5
1785139622977412135,False,5
1785139622997389185,False,5
1785139623017372556,False,5
1785139623037436780,False,5
1785139623057408620,False,5
1785139623077390138,False,5
1785139623097398326,False,5
1785139623117379033,False,5
1785139623137404894,False,5
1785139623157373979,False,5
1785139623177411312,False,5
1785139623197398090,False,5
1785139623217376953,False,5
1785139623237389610,False,5
1785139623257367491,False,5
1785139623277391238,False,5
1785139623297380030,False,5
1785139623317370585,False,5
1785139623337399342,False,5
1785139623357370561,False,5
1785139623377393948,False,5
1785139623397405412,False,5
1785139623417392641,False,5
1785139623437418703,False,5
1785139623457384782,False,5
1785139623477397098,False,5
1785139623497392302,False,5
1785139623517369772,False,5
1785139623537414950,False,5
1785139623557397991,False,5
1785139623577404506,False,5
1785139623597386254,False,5
1785139623617393651,False,5
1785139623637403713,False,5
1785139623657386223,False,5
1785139623677418887,False,5
1785139623697400506,False,5
1785139623717404316,False,5
1785139623737392396,False,5
1785139623757386107,False,5
1785139623777386861,False,5
1785139623797419886,False,5
1785139623817383941,False,5
1785139623837397570,False,5
1785139623857379839,False,5
1785139623877421160,False,5
1785139623897432625,False,5
1785139623917379096,False,5
1785139623937412572,False,5
1785139623957401234,False,5
1785139623977426995,False,5
1785139623997410197,False,5
1785139624017392867,False,5
1785139624037406034,False,5
1785139624057386480,False,5
1785139624077432470,False,5
1785139624097397036,False,5
1785139624117390426,False,5
1785139624137445513,False,5
1785139624157391975,False,5
1785139624177382419,False,5
1785139624197402791,False,5
1785139624217398415,False,5
1785139624237421822,False,5
1785139624257399333,False,5
1785139624277394406,False,5
1785139624297398747,False,5
1785139624317390444,False,5
1785139624337398212,False,5
1785139624357404396,False,5
1785139624377403968,False,5
1785139624397421224,False,5
1785139624417398995,False,5
1785139624437427271,False,5
1785139624457403298,False,5
1785139624477430923,False,5
1785139624497404586,False,5
1785139624517394300,False,5
