experiment_id,batch_id,phase,family,scenario,method,trial,seed,minimum_inter_agent_distance,mean_min_distance,closest_pair,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,risk_integral,iapf_activation_time,iapf_activation_ratio,mean_repulsion_norm,max_repulsion_norm,position_saturation_ratio,acceleration_saturation_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,activation_event_count,unnecessary_intervention_rate,intervention_latency,mean_trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,completion_time,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,failure_reason
assignment_crossing_4-DIST_OFF-t01-54b5a514fe,exp08-v2-pilot-20260729-03,pilot,complement,assignment_crossing_4,DIST_OFF,1,9001,0.698088438853481,3.0820607348581937,2-3,1,17,1,0.849999189376831,0.041537095372325,0.0,0.0,0.0,0.0,0.0,0.0,0.7676439462817136,1.0651557534804876,0,0.0,,0.5190088086267304,2.437692054574366,25.847180140894093,20.1953811951858,1.279856017130074,15.532090425491331,0.0,0,1.0,0.285928897570197,False,collision
assignment_crossing_4-DIST_ON-t01-55779d708a,exp08-v2-pilot-20260729-03,pilot,complement,assignment_crossing_4,DIST_ON,1,9001,0.991061476380568,3.026778539505007,2-3,0,4,1,0.1999998092651367,8.47595190589158e-06,2.589606285095215,0.1339538026689913,3.0461405027267108,11.75509762058464,0.007866273352999,0.0147492625368731,2.181831082488576,3.2090892861088385,2,0.0,0.0,0.532333769798228,2.860164997034855,26.860700682564705,20.2255658318634,1.3280568220370033,16.332412719726562,9.980204820632936,0,1.0,0.2893795267944999,True,none
assignment_crossing_4-SAFE_OFF-t01-09951ea3db,exp08-v2-pilot-20260729-03,pilot,complement,assignment_crossing_4,SAFE_OFF,1,9001,2.8631583135951555,3.3996742112964577,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148511620009396,0.5548217037946654,0,0.0,,0.5564564152894665,1.6246570978357968,21.192499928237478,19.39539890407441,1.0926560486356145,8.492066621780396,0.0,0,1.0,0.2380387551339125,True,none
assignment_crossing_4-SAFE_ON-t01-7b4ff91121,exp08-v2-pilot-20260729-03,pilot,complement,assignment_crossing_4,SAFE_ON,1,9001,2.835715222137481,3.4308521819880937,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204968749477494,0.5637842479288264,0,0.0,,0.4848557252624195,1.5669826617119116,20.19554570303069,19.082354428924116,1.0583361596312904,8.612811088562012,0.0,0,1.0,0.1373752601977628,True,none
assignment_dense_8-DIST_OFF-t01-17794bd822,exp08-v2-pilot-20260729-03,pilot,complement,assignment_dense_8,DIST_OFF,1,9001,1.300101209799071,1.952872550411203,5-6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422213480109584,0.6121701624585549,0,0.0,,0.4524652272740506,2.0535125383165806,33.39605611661788,29.55741140171181,1.1298708016996288,9.991851091384888,0.0,0,0.875,0.2926061610023582,False,none
assignment_dense_8-DIST_ON-t01-340b4e50dd,exp08-v2-pilot-20260729-03,pilot,complement,assignment_dense_8,DIST_ON,1,9001,1.403797262454271,1.941373627822164,5-6,0,0,0,0.0,0.0,0.1600434780120849,0.0135568476731784,0.4474955882556967,1.5000898090431902,0.0,0.0,0.6375504321864952,0.6235282763302167,2,0.0,0.0,0.3580793560351412,2.0017295278334912,29.248091035988143,27.71258199073812,1.0554083717555878,8.806131839752197,3.839662551879883,2,1.0,0.0713679859974862,True,none
assignment_dense_8-SAFE_OFF-t01-f6fbe2f279,exp08-v2-pilot-20260729-03,pilot,complement,assignment_dense_8,SAFE_OFF,1,9001,1.831744464383903,2.068260019350028,5-6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5561185757419924,0.3479403170584388,0,0.0,,0.4257250635866194,1.6937226311784646,30.94021629472424,27.81677861340783,1.1122861034602654,8.414180040359497,0.0,1,0.875,0.2837173516227688,False,none
assignment_dense_8-SAFE_ON-t01-8ee4dd2376,exp08-v2-pilot-20260729-03,pilot,complement,assignment_dense_8,SAFE_ON,1,9001,1.832146630039794,2.098467486154956,5-6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557910874735147,0.3490776569224546,0,0.0,,0.3578611944070977,1.6796513061686162,29.019554566880768,27.465189982262487,1.0565939862648726,8.66750717163086,0.0,2,1.0,0.167927121811336,True,none
dense_infeasible-STRESS_OFF-t01-9f3afb2e6c,exp08-v2-pilot-20260729-03,pilot,stress,dense_infeasible,STRESS_OFF,1,9001,0.9571141551797387,2.15669545366443,4-5,0,23,1,1.149998903274536,0.0010440074851007,0.0,0.0,0.0,0.0,0.0,0.0,0.4101091627675442,0.6810368957355174,0,0.0,,0.4732265521604922,1.3377994095897243,45.2939053243057,38.54393343269073,1.1751241061943625,13.58563232421875,0.0,0,1.0,0.242911837780166,True,none
dense_infeasible-STRESS_ON-t01-9411569f63,exp08-v2-pilot-20260729-03,pilot,stress,dense_infeasible,STRESS_ON,1,9001,1.1939088269610778,2.698375032517193,1-2,0,0,0,0.0,0.0,4.1694958209991455,0.3610151781905387,2.179814625982805,5.880838273513578,0.0,0.0,1.6178599495428096,2.552575722864144,8,0.0,0.0,0.4862695776554754,1.299803971677313,39.93854306820869,37.07017283820271,1.0773767697961736,8.549847841262817,,0,1.0,0.2177624702616325,True,none
dense_local_bias-IAPF_OFF-t01-4cfcede142,exp08-v2-pilot-20260729-03,pilot,fallback,dense_local_bias,IAPF_OFF,1,9001,2.2840639918037784,3.5111263499137624,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466021582017328,0.2194631121067538,0,0.0,,0.3967315417890562,0.8837280696371044,20.17009437731022,17.607216028365713,1.1455584088259974,8.284825563430786,0.0,0,1.0,0.2649277393442192,True,none
dense_local_bias-IAPF_ON-t01-c265c1f2f5,exp08-v2-pilot-20260729-03,pilot,fallback,dense_local_bias,IAPF_ON,1,9001,2.3121016104680168,3.5383459812870037,1-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366688625176993,0.2266571189484514,0,0.0,,0.3435088814473865,0.763674525014568,18.0619816905753,17.045848094816666,1.0596117946203931,8.006840467453003,0.0,0,1.0,0.1722866172923031,True,none
group_crossing_hold-IAPF_OFF-t01-435c38d96f,exp08-v2-pilot-20260729-03,pilot,fallback,group_crossing_hold,IAPF_OFF,1,9001,1.4525818415306375,1.9641846227295745,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947629165002974,3.3387085817945885,0,0.0,,0.876328984040783,3.158100959864981,48.7815970256672,43.56505251662978,1.119741494792096,13.71046018600464,0.0,0,1.0,0.2776044081009465,True,none
group_crossing_hold-IAPF_ON-t01-81aea0acfd,exp08-v2-pilot-20260729-03,pilot,fallback,group_crossing_hold,IAPF_ON,1,9001,1.5134501220708536,1.958400183141019,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909702921137588,3.355743816116032,0,0.0,,0.9531224208512934,2.990161411757443,45.770985782269456,42.80205387009365,1.0693642394167968,10.810929775238035,0.0,0,1.0,0.1818205735348109,True,none
grouped_reconfiguration-STRESS_OFF-t01-2d5baa6485,exp08-v2-pilot-20260729-03,pilot,stress,grouped_reconfiguration,STRESS_OFF,1,9001,0.1631468668847962,0.7287526849198027,2-6,14,2263,30,112.94989228248596,5.712811740699886,0.0,0.0,0.0,0.0,0.0,0.0,0.6922575476943108,2.4488721180153865,0,0.0,,0.7723158272468533,3.940862303560116,143.99646312092156,98.46369371127054,1.4624320670232906,,0.0,0,0.75,0.2777068677622863,False,collision
grouped_reconfiguration-STRESS_ON-t01-0aec09daef,exp08-v2-pilot-20260729-03,pilot,stress,grouped_reconfiguration,STRESS_ON,1,9001,0.1525002704591343,1.111068650953778,1-5,6,235,21,11.749988794326782,1.0635280764842057,34.0538969039917,0.988417782815074,18.29551056747277,7193.93153972787,0.0511988716502115,0.1061354019746121,2.621450435215145,43.00123506657414,10,0.0,0.0,0.7955295162411993,3.6940650640872215,147.25255911498186,98.72980607413209,1.4914701544578757,31.45378088951111,,2,0.375,0.410238385827345,False,collision
head_on-STRESS_OFF-t01-69510a1647,exp08-v2-pilot-20260729-03,pilot,stress,head_on,STRESS_OFF,1,9001,0.1825288451477479,1.5728240549591312,1-2,2,298,2,14.8499858379364,3.787020139055379,0.0,0.0,0.0,0.0,0.0,0.0,1.3920012997390856,4.951185943572769,0,0.0,,3.629973622472703,11.915185708622754,67.35083582679118,12.829118734469636,5.249841179334561,,0.0,0,0.0,4.742109053949838,False,collision
head_on-STRESS_ON-t01-10685cb45d,exp08-v2-pilot-20260729-03,pilot,stress,head_on,STRESS_ON,1,9001,0.7971530850965431,5.145787754283119,1-2,0,19,2,0.9499990940093994,0.0116008113803117,2.519770383834839,0.1145587623215606,7.944391037314293,29.57565462989134,0.0434782608695652,0.0547826086956521,3.3155018301003265,14.777810964551568,2,0.0,0.0,2.2018871341548905,10.962978345710788,79.65577189314666,12.742673013249156,6.251103815527936,,,0,0.0,1.4435114318826627,False,px4_failsafe
safe_parallel_groups-IAPF_OFF-t01-9f35694d69,exp08-v2-pilot-20260729-03,pilot,nonintrusive,safe_parallel_groups,IAPF_OFF,1,9001,1.9061850026368936,1.9702220668779824,1-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8995208260035864,3.3042125061607237,0,0.0,,0.7434087250002164,2.7928703876984984,47.923397374201,41.46907583557187,1.1556417983419986,17.61073637008667,0.0,0,1.0,0.2837433754702915,True,none
safe_parallel_groups-IAPF_ON-t01-97d3f52d41,exp08-v2-pilot-20260729-03,pilot,nonintrusive,safe_parallel_groups,IAPF_ON,1,9001,1.9561445363719328,1.9837225299210723,1-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906274202776564,3.3649987156888272,0,0.0,,0.9187823826047526,2.806359311694483,43.63636505012075,40.95068019863167,1.065583400286934,10.730196952819824,0.0,0,1.0,0.1854408028526581,True,none
safe_wide_line_to_circle-IAPF_OFF-t01-a90b09b260,exp08-v2-pilot-20260729-03,pilot,nonintrusive,safe_wide_line_to_circle,IAPF_OFF,1,9001,2.4360038720373742,3.5525538718323646,1-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494852624148982,4.690139387014717,0,0.0,,1.194853199272402,4.409790995352562,86.18992410354645,81.19088212622299,1.0615714701750836,10.579100370407104,0.0,0,1.0,0.2786050710479039,True,none
