bag_time_ns,is_hover_stable,uav_id
1785137479439163589,False,7
1785137479459165188,False,7
1785137479479165105,False,7
1785137479499171143,False,7
1785137479519214704,False,7
1785137479539171277,False,7
1785137479559166785,False,7
1785137479579169427,False,7
1785137479599159445,False,7
1785137479619208947,False,7
1785137479639167644,False,7
1785137479659157812,False,7
1785137479679162067,False,7
1785137479699166943,False,7
1785137479719213299,False,7
1785137479739168189,False,7
1785137479759181481,False,7
1785137479779179404,False,7
1785137479799175162,False,7
1785137479819228632,False,7
1785137479839184965,False,7
1785137479859180904,False,7
1785137479879181572,False,7
1785137479899199333,False,7
1785137479919222223,False,7
1785137479939196210,False,7
1785137479959185596,False,7
1785137479979191675,False,7
1785137479999195990,False,7
1785137480019247965,False,7
1785137480039195400,False,7
1785137480059188321,False,7
1785137480079204688,False,7
1785137480099196367,False,7
1785137480119220840,False,7
1785137480139199835,False,7
1785137480159196373,False,7
1785137480179204855,False,7
1785137480199192066,False,7
1785137480219253028,False,7
1785137480239205252,False,7
1785137480259205578,False,7
1785137480279203188,False,7
1785137480299197513,False,7
1785137480319281069,False,7
1785137480339197123,False,7
1785137480359196256,False,7
1785137480379199898,False,7
1785137480399205314,False,7
1785137480419249895,False,7
1785137480439218470,False,7
1785137480459218716,False,7
1785137480479205376,False,7
1785137480499205481,False,7
1785137480519252337,False,7
1785137480539213968,False,7
1785137480559198213,False,7
1785137480579211053,False,7
1785137480599219154,False,7
1785137480619251432,False,7
1785137480639264642,False,7
1785137480659225282,False,7
1785137480679229285,False,7
1785137480699200214,False,7
1785137480719285975,False,7
1785137480739214973,False,7
1785137480759217564,False,7
1785137480779216868,False,7
1785137480799206974,False,7
1785137480819248178,False,7
1785137480839206133,False,7
1785137480859213212,False,7
1785137480879208598,False,7
1785137480899201971,False,7
1785137480919242454,False,7
1785137480939221779,False,7
1785137480959211986,False,7
1785137480979216330,False,7
1785137480999210263,False,7
1785137481019250485,False,7
1785137481039237564,False,7
1785137481059214373,False,7
1785137481079232512,False,7
1785137481099203680,False,7
1785137481119238461,False,7
1785137481139219539,False,7
1785137481159214863,False,7
1785137481179219917,False,7
1785137481199204892,False,7
1785137481219248971,False,7
1785137481239213867,False,7
1785137481259204563,False,7
1785137481279214596,False,7
1785137481299207466,False,7
1785137481319244101,False,7
1785137481339209348,False,7
1785137481359205554,False,7
1785137481379222010,False,7
1785137481399209389,False,7
1785137481419236385,False,7
1785137481439214026,False,7
1785137481459209862,False,7
1785137481479216218,False,7
1785137481499199079,False,7
1785137481519267194,False,7
1785137481539260054,False,7
1785137481559254467,False,7
1785137481579294618,False,7
1785137481599261879,False,7
1785137481619289567,False,7
1785137481639267227,False,7
1785137481659261931,False,7
1785137481679263107,False,7
1785137481699263632,False,7
1785137481719299144,False,7
1785137481739268098,False,7
1785137481759278092,False,7
1785137481779271362,False,7
1785137481799268992,False,7
1785137481819302721,False,7
1785137481839280742,False,7
1785137481859269164,False,7
1785137481879269699,False,7
1785137481899271626,False,7
1785137481919376242,False,7
1785137481939273558,False,7
1785137481959288390,False,7
1785137481979288244,False,7
1785137481999286805,False,7
1785137482019332295,False,7
1785137482039292681,False,7
1785137482059298285,False,7
1785137482079282847,False,7
1785137482099277930,False,7
1785137482119308231,False,7
1785137482139280540,False,7
1785137482159279892,False,7
1785137482179293670,False,7
1785137482199286329,False,7
1785137482219363851,False,7
1785137482239332803,False,7
1785137482259290023,False,7
1785137482279289555,False,7
1785137482299295569,False,7
1785137482319325980,False,7
1785137482339292127,False,7
