bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785125918908593341,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125918908836524,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919007601396,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919007951948,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919008062293,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919008309393,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919008531316,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919107351822,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919107857202,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
1785125919108156980,8.0,world,908280309,1785125920,1,normal,0.0,6.76393202,11.35114101,5.0,4
