batch_id,task_type,attempt_id,trial_id,stage_id,uav_id,mission_id,failure_reason,failure_condition,command_ack,reference_finished,stability_state,position_error,speed,odom_age,status_age,iapf_active,nearest_neighbor_distance,last_candidate_time,last_confirmed_time
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,1,3,stabilization_timeout,not_confirmed,True,True,0,0.350102961063385,0.33923909068107605,0.006269337001867825,0.00557765900157392,False,3.516678810119629,nan,nan
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,2,3,stabilization_timeout,not_confirmed,True,True,0,0.33222776651382446,0.3568836748600006,0.075849028002267,0.015319374000682728,False,3.5106499195098877,nan,nan
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,3,3,stabilization_timeout,not_confirmed,True,True,0,0.3400708734989166,0.36285775899887085,0.07776222900065477,0.01766647000113153,False,3.516678810119629,32.902036114999646,33.902700378999725
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,4,3,stabilization_timeout,not_confirmed,True,True,0,0.34681135416030884,0.3642115294933319,0.08308871700137388,0.00257005400271737,False,3.5105020999908447,32.876508390996605,33.876602974996786
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,5,4,stabilization_timeout,not_confirmed,True,True,0,0.34700942039489746,0.36912697553634644,5.840900121256709e-05,0.02046518300267053,False,3.5176684856414795,32.879238083998644,33.879466629998205
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,6,4,stabilization_timeout,not_confirmed,True,True,0,0.35346871614456177,0.38022860884666443,0.005314194000675343,0.005279870001686504,False,3.517637014389038,32.85446731099728,33.854662653997366
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,7,4,stabilization_timeout,not_confirmed,True,True,0,0.386285662651062,0.36942824721336365,0.06802311900173663,0.007372738000412937,False,3.5358200073242188,32.611593226996774,33.61168170899691
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,8,4,stabilization_timeout,not_confirmed,True,True,0,0.37007978558540344,0.38938137888908386,0.07265295900288038,0.012172267001005821,False,3.5401933193206787,32.46717246499975,33.46726377300001
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,1,1,stabilization_timeout,not_confirmed,True,True,0,0.47081491351127625,0.45499417185783386,0.019297703001939226,0.019222282000555424,False,8.99052906036377,20.334696492998773,21.3350393039982
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,2,1,stabilization_timeout,not_confirmed,True,True,0,12.534488677978516,0.4852167069911957,0.024539371999708237,0.004310962001909502,False,3.06559681892395,nan,nan
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,3,1,stabilization_timeout,not_confirmed,True,True,0,9.212318420410156,0.48969149589538574,0.01813400899845874,0.01802619700174546,False,3.0660767555236816,nan,nan
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,4,1,stabilization_timeout,not_confirmed,True,True,0,0.46483275294303894,0.4698878824710846,0.023433656999259256,0.0031132840013015084,False,3.015615224838257,19.370623513001192,20.39059866399839
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,5,1,stabilization_timeout,not_confirmed,True,True,0,0.4542231261730194,0.4614962041378021,0.020661323000240372,6.375900193233974e-05,False,3.0158040523529053,19.373518005999358,20.373658507000073
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,6,1,stabilization_timeout,not_confirmed,True,True,0,9.21568775177002,0.48719748854637146,0.011576649998460198,0.010864693998883013,False,2.992084264755249,nan,nan
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,7,1,stabilization_timeout,not_confirmed,True,True,0,12.514498710632324,0.47754135727882385,0.028858400000899564,0.00864195200119866,False,2.992046594619751,nan,nan
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,8,1,stabilization_timeout,not_confirmed,True,True,0,0.4533632695674896,0.4496162235736847,0.017722436001349706,0.01768482600164134,False,8.964426040649414,20.155984349999926,21.176162273000955
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,1,3,stabilization_timeout,not_confirmed,True,True,0,0.36086881160736084,0.34841442108154297,0.07101260299896239,0.01067956699989736,False,3.509003162384033,nan,nan
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,2,3,stabilization_timeout,not_confirmed,True,True,0,0.3680334985256195,0.35200363397598267,0.07504618500024662,0.014961224998842226,False,3.4983506202697754,nan,nan
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,3,3,stabilization_timeout,not_confirmed,True,True,0,0.3765754699707031,0.3589729070663452,0.07199937599943951,0.011910026998521062,False,3.509003162384033,32.469601789998705,33.469956099997944
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,4,3,stabilization_timeout,not_confirmed,True,True,0,0.3829207420349121,0.3650883436203003,0.07412121899687918,0.014243276997149223,False,3.4983506202697754,32.467832528000145,33.4878423049995
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,5,4,stabilization_timeout,not_confirmed,True,True,0,0.37684765458106995,0.35793808102607727,0.061083093998604454,0.02103124899804243,False,3.5317251682281494,32.46130438399996,33.481264578000264
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,6,4,stabilization_timeout,not_confirmed,True,True,0,0.38245341181755066,0.36343035101890564,0.06441083099707612,0.0037098639986652415,False,3.531339406967163,32.41772979799862,33.43758137799887
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,7,4,stabilization_timeout,not_confirmed,True,True,0,0.38951775431632996,0.3698395788669586,0.06707238699891604,0.0070997980001266114,False,3.534839630126953,32.195098976000736,33.214665510000486
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,8,4,stabilization_timeout,not_confirmed,True,True,0,0.39319223165512085,0.3736175000667572,0.06360745199708617,0.0035344249990885146,False,3.534895896911621,32.11828823999895,33.11836684199807
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,1,2,stabilization_timeout,not_confirmed,True,True,0,0.3698703348636627,0.35857895016670227,0.09051722400181461,0.010012636001192732,False,3.0608456134796143,nan,nan
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,2,2,stabilization_timeout,not_confirmed,True,True,0,0.37651553750038147,0.3822569251060486,0.08531469700028538,0.005364681001083227,False,3.068876266479492,30.730893515999924,31.751383424998494
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,3,2,stabilization_timeout,not_confirmed,True,True,0,0.3824569284915924,0.38466399908065796,0.0894530660007149,0.009427427001355682,False,3.0662472248077393,29.10692321500028,30.106976078001026
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,4,2,stabilization_timeout,not_confirmed,True,True,0,0.3868776559829712,0.3881012201309204,0.08338284099954762,0.003513666000799276,False,3.057117223739624,30.093170711999846,31.093378385001415
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,5,2,stabilization_timeout,not_confirmed,True,True,0,0.3956385850906372,0.3923059403896332,0.07968358600192005,0.02004538999972283,False,3.050518035888672,29.816571340001246,30.816579458998604
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,6,2,stabilization_timeout,not_confirmed,True,True,0,0.4003428518772125,0.39604005217552185,0.08779727799992543,0.00767958600044949,False,3.052377223968506,29.108638043999235,30.12836032099949
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,7,2,stabilization_timeout,not_confirmed,True,True,0,0.3976157605648041,0.39190009236335754,0.08648152800014941,0.0059717200019804295,False,3.050640344619751,30.02998538799875,31.049939961001655
