batch_id,task_type,attempt_id,trial_id,stage_id,stage_start_time,assignment_complete_time,first_command_dispatch_time,last_command_dispatch_time,all_commands_acknowledged_time,reference_start_time,all_references_finished_time,all_uavs_stable_time,stage_end_time,planning_time,dispatch_time,reference_execution_time,trajectory_finish_spread,stabilization_delay,stable_hold_time,stable_arrival_spread,stage_wall_time,slowest_uav_id,failure_reason,valid,invalid_reason
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,1,9.628011526998307,9.642520087996672,9.642764917996828,9.643209071997262,9.742333660997247,9.723804332999862,19.74181599199801,21.124492692997592,21.124539480999374,0.014508560998365283,0.0006889840005896986,10.099051074001181,0.017470110000431305,1.382676700999582,1.010297049249857,0.47027319399785483,11.496527954001067,2,,True,
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0001,1,2,21.12455049199707,21.141101576999063,21.141253201996733,21.141670544999215,21.23974028599696,21.221895542999846,31.239167895997525,nan,61.239612757999566,0.01655108500199276,0.0005689680001523811,10.097914694000792,0.01671797900053207,nan,nan,nan,40.1150622660025,,stabilization_timeout,False,missing_final_confirmed
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0002,1,1,9.319524669997918,9.353480046000186,9.353701932999684,9.354094129001169,9.453656792000402,9.434659132999514,19.45350407499791,nan,49.45412305799982,0.03395537600226817,0.0006140830009826459,10.099802141998225,0.018704509999224683,nan,nan,nan,40.134598388001905,,stabilization_timeout,False,missing_final_confirmed
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,1,9.344974014999025,9.360672983999393,9.360949712998263,9.361477122998622,9.460939847998816,9.447081513997546,19.460864802000287,20.887196881998534,20.887252415999683,0.01569896900036838,0.0008041389992285985,10.099915089002025,0.013581234001321718,1.4263320799982466,1.0051061962499261,0.5175077259991667,11.542278401000658,2,,True,
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0003,2,2,20.8872647399985,20.904425502998492,20.90457286899982,20.90489356100079,21.000889078997716,20.987227374000213,31.001269142998353,nan,61.001900331997604,0.017160762999992585,0.0004680580022977665,10.096696273998532,0.014478368000709452,nan,nan,nan,40.114635591999104,,stabilization_timeout,False,missing_final_confirmed
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,1,8.994697450998501,9.029110811999999,9.029324363000342,9.029811807999067,9.12973371300177,9.111142163001205,19.130611143998976,21.06612714500079,21.066174072999274,0.03441336100149783,0.0007009959990682546,10.101286780998635,0.019474888998956885,1.9355160010018153,1.0101272770002652,1.0298296239998308,12.071476622000773,1,,True,
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0004,2,2,21.066184783001518,21.10008169499997,21.100219544001448,21.100617000000057,21.196176806999574,21.186163419999502,29.19616355999824,nan,59.196321437000734,0.033896911998454016,0.000535305000084918,8.095944015996793,0.010126879999006633,nan,nan,nan,38.130136653999216,,stabilization_timeout,False,missing_final_confirmed
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0005,3,1,9.394640475002234,9.428656683001464,9.42886897200151,9.429310200001055,9.527067038001405,9.510445775002154,19.52700672300125,21.455039424999995,21.455088196998986,0.034016207999229664,0.0006535169995913748,10.09813775099974,0.016725989000406116,1.9280327019987453,1.0051025653742727,1.017664324001089,12.060447721996752,1,,True,
exp10-pilot-v3-replay-20260803,task_b_sequential,attempt_0005,3,2,21.455099348000658,21.49093464100224,21.491107015001035,21.49149916100214,21.589981271001307,21.573679207001987,29.589812189999066,32.09477368200169,32.09481953800059,0.03583529300158261,0.0005645199998980388,8.098705174998031,0.01613356699817814,2.5049614920026215,1.0085505723759525,1.5959236460003012,10.639720189999935,1,,True,
exp10-pilot-v3-replay-20260803,task_e_mixed,attempt_0006,3,1,9.337847418002639,9.3530484360017,9.353300539001793,9.353856552999787,9.453022690002399,9.436531932002254,19.453220671002782,20.831016205000196,20.831062020999525,0.01520101799906115,0.0008081169980869163,10.099920132000989,0.016576109002926387,1.3777955339974142,1.0124052538753858,0.46176721200026805,11.493214602996886,2,,True,
