bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785143150979083370,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151079160110,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151179283821,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151279382153,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151379535484,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151479628383,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151579765896,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151679898769,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151780047449,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
1785143151880167222,8.0,world,978875930,1785143152,403,normal,0.0,6.0,0.0,5.0,0
