method,sample_count,valid_json_rate,schema_valid_rate,field_accuracy,exact_task_accuracy,rejection_accuracy,uav_set_accuracy,formation_accuracy,center_error,radius_error,duration_error,motion_style_accuracy,safety_factor_error,trigger_accuracy,mean_prompt_tokens,mean_completion_tokens,mean_latency_ms,mean_retry_count
plain_json,100,1.0,0.8,0.7157012195121951,0.5365853658536586,1.0,0.7357723577235772,0.7357723577235772,0.0,0.0,0.05737704918032787,0.6890243902439024,0.028688524590163935,0.6422764227642277,401.43,1846.58,29578.56,0.74
few_shot_json,100,1.0,1.0,0.9954268292682927,0.9634146341463414,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9634146341463414,639.4,1186.01,17062.41,0.09
lfs_schema,100,1.0,1.0,0.9593495934959351,0.7560975609756098,0.8888888888888888,0.983739837398374,0.9715447154471545,0.0,0.0,0.10365853658536585,0.9674796747967479,0.006097560975609756,0.8455284552845528,298.06,1043.43,16598.37,0.02
dense_waypoints,100,0.98,0.95,0.9359756097560976,0.7439024390243902,0.7222222222222222,0.9512195121951219,0.9390243902439024,0.0,0.0,0.0,0.9512195121951219,0.02564102564102564,0.8658536585365854,349.55,2866.75,45838.16,0.24
