experiment_id,batch_id,task_type,trial_id,mission_id,uav_id,controller_tracking_rmse,avoidance_deviation,peak_velocity,peak_acceleration,semantic_gain_multiplier,sample_count
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,2,1.3137126486896222,0.0,1.844954490661621,1.3032015562057495,0.7704178094863892,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,3,0.7879357354262806,0.0,1.143117070198059,1.3605096340179443,0.6975201368331909,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,1,1.8320830334545013,0.0,2.570192813873291,1.378348469734192,0.8477756381034851,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,6,0.8026354778381647,0.0,1.1540682315826416,1.643857717514038,0.6976538300514221,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,4,0.30562336151048075,0.0,0.5032894611358643,1.3494783639907837,0.6370007395744324,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,8,1.8454938409736255,0.0,2.612375020980835,1.4078720808029175,0.8482191562652588,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,7,1.3097489576199146,0.0,1.8561526536941528,1.2624436616897583,0.7715646028518677,618
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,1,5,0.32264117618667454,0.0,0.5462170839309692,1.3743711709976196,0.637539267539978,617
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,5,0.6161213186569443,0.0,0.9853641390800476,2.693873882293701,1.041491985321045,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,2,0.7569000686638339,0.0,1.1964060068130493,2.7885377407073975,1.0606924295425415,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,3,0.5159076991204818,0.0,0.8277182579040527,2.396298885345459,1.026349663734436,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,1,0.923969037348644,0.0,1.4391313791275024,2.873228073120117,1.0785499811172485,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,6,0.48721696839617706,0.0,0.7840326428413391,2.5840811729431152,1.0257676839828491,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,4,0.602153452706769,0.0,0.9706318974494934,2.6848785877227783,1.0417282581329346,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,8,0.8929087889402746,0.0,1.3884059190750122,2.838162422180176,1.0787080526351929,722
experiments_10,exp10-b-verify-20260803-live-e2e-r6,task_b_sequential,1,2,7,0.7617168977757364,0.0,1.2063617706298828,3.2511112689971924,1.0607025623321533,722
