bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785207120126687247,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120244626242,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120364652571,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120484687236,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120604729505,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120724870392,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120844612520,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207120964634100,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207121084588796,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
1785207121184706474,3.0,world,126547160,1785207120,3280266203,aggressive,1.0,6.0,3.0,5.0,1
