trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,arrival_time_variance,failed_assignment,total_cost,compute_time_ms
0,small,1887462795,3,random,"[2,0,1]",11.701784,3.900595,0,1,1.213747,0.823216,31,1.073085,1,22.525001,0.015679
0,small,1887462795,3,nearest_neighbor,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0.818888,0,5.304490,0.032651
0,small,1887462795,3,hungarian_distance,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0.818888,0,5.304490,0.024937
0,small,1887462795,3,hungarian_crossing_penalty,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0.818888,0,5.304490,0.590093
0,small,1887462795,3,safety_aware_local_swap,"[1,0,2]",5.304490,1.768163,0,0,4.137733,0.000000,0,0.818888,0,5.304490,0.581236
1,small,144202666,3,random,"[0,1,2]",14.542539,4.847513,1,2,1.029640,1.714431,77,2.007589,1,46.256971,0.004538
1,small,144202666,3,nearest_neighbor,"[1,0,2]",8.808674,2.936225,0,0,2.215682,0.000000,0,1.142134,0,8.808674,0.016902
1,small,144202666,3,hungarian_distance,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,3.033946,0,8.383736,0.010440
1,small,144202666,3,hungarian_crossing_penalty,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,3.033946,0,8.383736,0.570426
1,small,144202666,3,safety_aware_local_swap,"[2,0,1]",8.383736,2.794579,0,0,2.004120,0.000000,0,3.033946,0,8.383736,0.556560
2,small,1363390165,3,random,"[0,1,2]",16.644715,5.548238,2,2,1.596750,1.172591,39,3.389426,1,57.817306,0.004148
2,small,1363390165,3,nearest_neighbor,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0.054452,0,7.675404,0.016060
2,small,1363390165,3,hungarian_distance,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0.054452,0,7.675404,0.010089
2,small,1363390165,3,hungarian_crossing_penalty,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0.054452,0,7.675404,0.570886
2,small,1363390165,3,safety_aware_local_swap,"[1,2,0]",7.675404,2.558468,0,0,4.093936,0.000000,0,0.054452,0,7.675404,0.591315
3,small,1435346075,3,random,"[2,0,1]",13.451436,4.483812,1,1,0.480593,2.076443,75,6.077525,1,35.527879,0.004188
3,small,1435346075,3,nearest_neighbor,"[0,1,2]",10.453966,3.484655,0,1,0.731317,1.365530,62,3.197102,1,21.819496,0.015900
3,small,1435346075,3,hungarian_distance,"[0,1,2]",10.453966,3.484655,0,1,0.731317,1.365530,62,3.197102,1,21.819496,0.010549
3,small,1435346075,3,hungarian_crossing_penalty,"[0,1,2]",10.453966,3.484655,0,1,0.731317,1.365530,62,3.197102,1,21.819496,0.579854
3,small,1435346075,3,safety_aware_local_swap,"[0,1,2]",10.453966,3.484655,0,1,0.731317,1.365530,62,3.197102,1,21.819496,0.661306
4,small,681567888,3,random,"[2,1,0]",11.996699,3.998900,0,0,2.374506,0.000000,0,3.890682,0,11.996699,0.007454
4,small,681567888,3,nearest_neighbor,"[2,0,1]",6.491452,2.163817,0,0,3.505363,0.000000,0,0.622950,0,6.491452,0.016782
4,small,681567888,3,hungarian_distance,"[2,0,1]",6.491452,2.163817,0,0,3.505363,0.000000,0,0.622950,0,6.491452,0.010028
4,small,681567888,3,hungarian_crossing_penalty,"[2,0,1]",6.491452,2.163817,0,0,3.505363,0.000000,0,0.622950,0,6.491452,0.544477
4,small,681567888,3,safety_aware_local_swap,"[2,0,1]",6.491452,2.163817,0,0,3.505363,0.000000,0,0.622950,0,6.491452,0.548315
5,small,1032468036,3,random,"[0,1,2]",15.090681,5.030227,2,3,0.097953,12.242442,167,7.155905,1,77.333123,0.003907
5,small,1032468036,3,nearest_neighbor,"[1,2,0]",14.552921,4.850974,1,2,1.021838,1.559812,93,0.569820,1,46.112734,0.015589
5,small,1032468036,3,hungarian_distance,"[2,0,1]",12.203262,4.067754,0,1,0.874585,1.142094,73,5.804207,1,23.345356,0.009408
5,small,1032468036,3,hungarian_crossing_penalty,"[2,0,1]",12.203262,4.067754,0,1,0.874585,1.142094,73,5.804207,1,23.345356,0.546111
5,small,1032468036,3,safety_aware_local_swap,"[2,0,1]",12.203262,4.067754,0,1,0.874585,1.142094,73,5.804207,1,23.345356,0.563483
6,small,415139589,3,random,"[1,2,0]",15.230329,5.076776,3,3,0.337442,5.615983,116,0.086932,1,80.846311,0.003957
6,small,415139589,3,nearest_neighbor,"[0,1,2]",6.146261,2.048754,0,0,3.178080,0.000000,0,0.074071,0,6.146261,0.016010
6,small,415139589,3,hungarian_distance,"[0,1,2]",6.146261,2.048754,0,0,3.178080,0.000000,0,0.074071,0,6.146261,0.009277
6,small,415139589,3,hungarian_crossing_penalty,"[0,1,2]",6.146261,2.048754,0,0,3.178080,0.000000,0,0.074071,0,6.146261,0.535511
6,small,415139589,3,safety_aware_local_swap,"[0,1,2]",6.146261,2.048754,0,0,3.178080,0.000000,0,0.074071,0,6.146261,0.527906
7,small,1642873678,3,random,"[1,0,2]",13.960449,4.653483,1,2,0.140368,7.821508,105,9.133066,1,51.781957,0.004178
7,small,1642873678,3,nearest_neighbor,"[0,1,2]",13.929525,4.643175,1,2,0.166557,6.660227,106,8.479099,1,50.589752,0.015579
7,small,1642873678,3,hungarian_distance,"[2,0,1]",9.924091,3.308030,0,1,1.456584,0.686067,50,3.599891,1,20.610158,0.009347
7,small,1642873678,3,hungarian_crossing_penalty,"[2,0,1]",9.924091,3.308030,0,1,1.456584,0.686067,50,3.599891,1,20.610158,0.563683
7,small,1642873678,3,safety_aware_local_swap,"[2,0,1]",9.924091,3.308030,0,1,1.456584,0.686067,50,3.599891,1,20.610158,0.540901
8,small,1250862551,3,random,"[1,0,2]",7.769375,2.589792,0,1,1.904884,0.524691,14,4.145950,1,18.294066,0.004058
8,small,1250862551,3,nearest_neighbor,"[1,0,2]",7.769375,2.589792,0,1,1.904884,0.524691,14,4.145950,1,18.294066,0.015709
