trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
9,dense,1114855303,8,random,"[1,4,3,2,0,5,7,6]",38.696650,4.837081,8,13,0.244235,18.805044,479,223,2.092527,1,1,267.501694,0.004398
9,dense,1114855303,8,nearest_neighbor,"[4,2,6,0,5,1,7,3]",19.651918,2.456490,2,5,0.050682,23.636370,270,129,1.948652,1,1,113.288289,0.067797
9,dense,1114855303,8,hungarian_distance,"[7,3,6,0,4,2,1,5]",11.362998,1.420375,0,0,2.076461,0.000000,0,0,0.898730,0,0,11.362998,0.017863
9,dense,1114855303,8,hungarian_crossing_penalty,"[7,3,6,0,4,2,1,5]",11.362998,1.420375,0,0,2.076461,0.000000,0,0,0.898730,0,0,11.362998,28.011003
9,dense,1114855303,8,safety_aware_local_swap,"[7,3,6,0,4,2,1,5]",11.362998,1.420375,0,0,2.076461,0.000000,0,0,0.898730,0,0,11.362998,27.972350
10,dense,1031653715,8,random,"[3,2,4,6,0,7,5,1]",35.174224,4.396778,4,9,0.676542,8.185474,270,126,4.008972,1,1,173.359698,0.005049
10,dense,1031653715,8,nearest_neighbor,"[5,1,4,2,3,0,6,7]",12.405549,1.550694,0,0,2.142545,0.000000,0,0,0.232398,0,0,12.405549,0.067808
10,dense,1031653715,8,hungarian_distance,"[5,1,4,2,3,0,6,7]",12.405549,1.550694,0,0,2.142545,0.000000,0,0,0.232398,0,0,12.405549,0.013595
10,dense,1031653715,8,hungarian_crossing_penalty,"[5,1,4,2,3,0,6,7]",12.405549,1.550694,0,0,2.142545,0.000000,0,0,0.232398,0,0,12.405549,27.766434
10,dense,1031653715,8,safety_aware_local_swap,"[5,1,4,2,3,0,6,7]",12.405549,1.550694,0,0,2.142545,0.000000,0,0,0.232398,0,0,12.405549,27.903992
11,dense,1809775116,8,random,"[4,2,1,0,5,7,3,6]",32.221096,4.027637,3,7,0.684447,5.813245,234,80,3.277425,1,1,138.034340,0.007634
11,dense,1809775116,8,nearest_neighbor,"[4,6,2,5,7,0,3,1]",12.805567,1.600696,0,0,2.054922,0.000000,0,0,0.284106,0,0,12.805567,0.067336
11,dense,1809775116,8,hungarian_distance,"[4,6,2,5,7,0,3,1]",12.805567,1.600696,0,0,2.054922,0.000000,0,0,0.284106,0,0,12.805567,0.013956
11,dense,1809775116,8,hungarian_crossing_penalty,"[4,6,2,5,7,0,3,1]",12.805567,1.600696,0,0,2.054922,0.000000,0,0,0.284106,0,0,12.805567,27.566698
11,dense,1809775116,8,safety_aware_local_swap,"[4,6,2,5,7,0,3,1]",12.805567,1.600696,0,0,2.054922,0.000000,0,0,0.284106,0,0,12.805567,28.847163
12,dense,1580839070,8,random,"[6,4,3,2,0,1,7,5]",34.917504,4.364688,6,11,0.472974,11.851506,408,183,4.170302,1,1,216.769010,0.008927
12,dense,1580839070,8,nearest_neighbor,"[6,3,0,4,2,1,7,5]",21.149975,2.643747,1,3,1.202058,2.145167,147,47,3.864675,1,1,63.295142,0.067908
12,dense,1580839070,8,hungarian_distance,"[6,5,0,4,3,2,7,1]",11.357213,1.419652,0,2,1.768173,1.066881,61,0,0.723080,1,0,32.424093,0.015138
12,dense,1580839070,8,hungarian_crossing_penalty,"[6,5,0,4,3,2,7,1]",11.357213,1.419652,0,2,1.768173,1.066881,61,0,0.723080,1,0,32.424093,27.550228
12,dense,1580839070,8,safety_aware_local_swap,"[6,5,0,4,3,2,7,1]",11.357213,1.419652,0,2,1.768173,1.066881,61,0,0.723080,1,0,32.424093,27.558032
13,dense,354838576,8,random,"[2,7,3,1,0,6,5,4]",41.977254,5.247157,11,12,0.125094,38.712089,517,323,1.777792,1,1,310.689343,0.005110
13,dense,354838576,8,nearest_neighbor,"[4,5,2,3,6,1,0,7]",9.599136,1.199892,0,1,1.921129,0.520256,28,0,0.545657,1,0,20.119393,0.066665
13,dense,354838576,8,hungarian_distance,"[4,6,2,3,5,1,0,7]",9.483359,1.185420,0,1,1.748083,0.571728,46,0,0.741454,1,0,20.055087,0.013225
13,dense,354838576,8,hungarian_crossing_penalty,"[4,6,2,3,5,1,0,7]",9.483359,1.185420,0,1,1.748083,0.571728,46,0,0.741454,1,0,20.055087,33.769820
13,dense,354838576,8,safety_aware_local_swap,"[4,6,2,3,5,1,0,7]",9.483359,1.185420,0,1,1.748083,0.571728,46,0,0.741454,1,0,20.055087,27.783236
