scope,method,trials,mean_total_path_length,mean_avg_path_length,mean_xy_crossings,mean_proximity_crossings,mean_min_distance,median_min_distance,mean_safety_violation_count,mean_critical_violation_count,mean_arrival_time_variance,failed_assignment_ratio,critical_failed_assignment_ratio,mean_compute_time_ms
crossing-prone,random,100,54.804951,10.960990,4.780000,2.370000,1.624301,1.584016,134.030000,0.000000,0.311165,0.980000,0.000000,0.005344
crossing-prone,nearest_neighbor,100,54.786143,10.957229,5.090000,2.390000,1.584472,1.581543,126.760000,0.100000,0.326836,1.000000,0.010000,0.032682
crossing-prone,hungarian_distance,100,54.687846,10.937569,5.480000,2.680000,1.595073,1.588681,170.820000,0.000000,0.556791,1.000000,0.000000,0.012092
crossing-prone,hungarian_crossing_penalty,100,54.735029,10.947006,0.000000,4.000000,1.553429,1.560484,295.810000,0.610000,0.600861,1.000000,0.040000,7.454666
crossing-prone,safety_aware_local_swap,100,54.778947,10.955790,2.580000,1.040000,1.796022,1.945324,69.220000,0.230000,0.341802,0.620000,0.010000,9.625385
dense,random,100,34.526470,4.315809,6.550000,9.750000,0.268538,0.194900,373.640000,185.290000,3.722631,1.000000,1.000000,0.005625
dense,nearest_neighbor,100,14.231834,1.778979,0.290000,2.050000,1.048340,0.989415,103.400000,37.450000,1.698389,0.930000,0.700000,0.068218
dense,hungarian_distance,100,11.436696,1.429587,0.000000,0.660000,1.953693,1.979712,26.480000,0.790000,0.611331,0.550000,0.030000,0.014184
dense,hungarian_crossing_penalty,100,11.436696,1.429587,0.000000,0.660000,1.953693,1.979712,26.480000,0.790000,0.611331,0.550000,0.030000,27.962047
dense,safety_aware_local_swap,100,11.515717,1.439465,0.000000,0.570000,1.959953,1.998619,23.000000,0.500000,0.607543,0.500000,0.020000,30.853478
large,random,100,59.872824,7.484103,6.390000,5.660000,0.397130,0.236811,132.190000,71.030000,11.080929,1.000000,0.980000,0.005453
large,nearest_neighbor,100,32.153506,4.019188,0.680000,1.310000,1.371860,1.402146,41.190000,19.660000,6.874640,0.710000,0.550000,0.067386
large,hungarian_distance,100,26.929926,3.366241,0.000000,0.210000,2.400045,2.461346,7.990000,2.590000,3.105725,0.170000,0.080000,0.014390
large,hungarian_crossing_penalty,100,26.929926,3.366241,0.000000,0.210000,2.400045,2.461346,7.990000,2.590000,3.105725,0.170000,0.080000,27.661669
large,safety_aware_local_swap,100,27.158406,3.394801,0.030000,0.060000,2.541365,2.477366,1.650000,0.000000,2.911635,0.060000,0.000000,31.903971
medium,random,100,29.000772,5.800154,1.960000,2.150000,0.946537,0.726269,57.500000,30.800000,5.712689,0.860000,0.760000,0.004613
medium,nearest_neighbor,100,16.689292,3.337859,0.280000,0.650000,1.876336,1.862576,22.990000,11.760000,4.232580,0.540000,0.360000,0.032288
medium,hungarian_distance,100,14.354545,2.870909,0.000000,0.100000,2.714912,2.671204,3.910000,1.910000,2.063244,0.100000,0.070000,0.011604
medium,hungarian_crossing_penalty,100,14.354545,2.870909,0.000000,0.100000,2.714912,2.671204,3.910000,1.910000,2.063244,0.100000,0.070000,4.010857
medium,safety_aware_local_swap,100,14.453396,2.890679,0.010000,0.010000,2.836550,2.716805,0.330000,0.000000,1.781533,0.010000,0.000000,4.417168
small,random,100,12.024022,4.008007,0.580000,0.970000,1.643434,1.459588,31.050000,15.350000,2.277442,0.680000,0.530000,0.004524
small,nearest_neighbor,100,8.458387,2.819462,0.120000,0.280000,2.743270,2.826982,10.240000,4.750000,1.723966,0.260000,0.160000,0.015826
small,hungarian_distance,100,7.239565,2.413188,0.000000,0.040000,3.145508,3.106146,1.560000,0.170000,1.326231,0.040000,0.010000,0.009977
small,hungarian_crossing_penalty,100,7.239565,2.413188,0.000000,0.040000,3.145508,3.106146,1.560000,0.170000,1.326231,0.040000,0.010000,0.548659
small,safety_aware_local_swap,100,7.249851,2.416617,0.000000,0.010000,3.168102,3.106146,0.400000,0.000000,1.184830,0.010000,0.000000,0.555920
ALL,random,500,38.045808,6.513813,4.052000,4.180000,0.975988,0.726269,145.682000,60.494000,4.620971,0.904000,0.654000,0.005112
ALL,nearest_neighbor,500,25.263832,4.582543,1.292000,1.336000,1.724855,1.588836,60.916000,14.744000,2.971282,0.688000,0.356000,0.043280
ALL,hungarian_distance,500,22.929715,4.203499,1.096000,0.738000,2.361846,2.187633,42.152000,1.092000,1.532664,0.372000,0.038000,0.012449
ALL,hungarian_crossing_penalty,500,22.939152,4.205386,0.000000,1.002000,2.353517,2.187633,67.150000,1.214000,1.541478,0.372000,0.046000,13.527580
ALL,safety_aware_local_swap,500,23.031263,4.219470,0.524000,0.338000,2.460398,2.271591,18.920000,0.146000,1.365469,0.240000,0.006000,15.471184
