trial_id,stage,scene,scene_family,style,cold_start,seed,policy_sha256,configuration_id,control_mode,mission_success,candidate_completed,T_min_s,T_exec_s,motion_style,style_gain,task_gain,compiled_omega_c,compiled_omega_o,applied_omega_c,applied_omega_o,analytic_mj_velocity_peak_mps,analytic_mj_acceleration_peak_mps2,analytic_mj_jerk_peak_mps3,tracking_rmse_m,final_error_m,settling_time_s,overshoot_m,controller_acceleration_saturation_ratio,controller_acceleration_saturation_samples,profile_clamp_activity,iapf_clamp_activity,peak_tilt_deg,hard_safety_violation_count,minimum_pairwise_distance_m,iapf_activation_fraction,dynamic_feasibility_violation,compiled_applied_profile_consistent,instability_or_divergence,persistent_oscillation,explicit_t_invariance,auto_t_ordering,condition_result,failure_reason,raw_dir
confirmation_S1_aggressive_cold1_20260825T133413Z_305213,confirmation,S1,short_horizontal,aggressive,1,c0f-confirm-a-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.468047512789543,9.0,aggressive,1.100000023841858,1.0,"[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]","[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]",0.5219970941543579,0.17859268188476562,0.2062210589647293,0.016246888262378276,0.01759142056107521,10.036864280700684,0.0,0.0,0,0,0,2.2700920718787376,0,2.2289204729244796,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_aggressive_cold1_20260825T133413Z_305213
confirmation_S1_aggressive_cold2_20260825T133516Z_309495,confirmation,S1,short_horizontal,aggressive,2,c0f-confirm-b-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.4678515568685504,9.0,aggressive,1.100000023841858,1.0,"[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]","[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]",0.5218727588653564,0.1785501390695572,0.2061719447374344,0.01653941811735844,0.013204569928348064,10.037174224853516,0.0,0.0,0,0,0,2.436375349917885,0,2.229406003405865,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_aggressive_cold2_20260825T133516Z_309495
confirmation_S1_normal_cold1_20260825T133205Z_296468,confirmation,S1,short_horizontal,normal,1,c0f-confirm-a-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.470069138296015,9.0,normal,1.0,1.0,"[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]","[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]",0.5232808589935303,0.17903190851211548,0.2067282348871231,0.01815041955158991,0.026941856369376183,10.017351150512695,0.0,0.0,0,0,0,2.1998484295580405,0,2.237163342962466,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_normal_cold1_20260825T133205Z_296468
confirmation_S1_normal_cold2_20260825T133312Z_300971,confirmation,S1,short_horizontal,normal,2,c0f-confirm-b-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.4680719365962966,9.0,normal,1.0,1.0,"[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]","[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]",0.5220125913619995,0.17859798669815063,0.20622718334197998,0.019619835382652787,0.012589803896844387,10.036643028259277,0.0,0.0,0,0,0,2.233069774319922,0,2.228469398158801,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_normal_cold2_20260825T133312Z_300971
confirmation_S1_smooth_cold1_20260825T133001Z_287937,confirmation,S1,short_horizontal,smooth,1,c0f-confirm-a-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.469312530999144,9.0,smooth,0.800000011920929,1.0,"[[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142]]","[[4.0,4.0,6.0],[4.0,4.0,6.0],[4.0,4.0,6.0]]","[[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142]]","[[4.0,4.0,6.0],[4.0,4.0,6.0],[4.0,4.0,6.0]]",0.5228001475334167,0.1788674294948578,0.20653831958770752,0.028670537976435085,0.023454807698726654,10.03631591796875,0.0,0.0,0,0,0,2.024576837154076,0,2.2297239021682977,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_smooth_cold1_20260825T133001Z_287937
confirmation_S1_smooth_cold2_20260825T133103Z_292235,confirmation,S1,short_horizontal,smooth,2,c0f-confirm-b-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.469122485464832,9.0,smooth,0.800000011920929,1.0,"[[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142]]","[[4.0,4.0,6.0],[4.0,4.0,6.0],[4.0,4.0,6.0]]","[[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142],[1.2000000476837158,1.2000000476837158,1.399999976158142]]","[[4.0,4.0,6.0],[4.0,4.0,6.0],[4.0,4.0,6.0]]",0.5226794481277466,0.17882613837718964,0.2064906358718872,0.02722951674075992,0.027057776227593422,10.037446975708008,0.0,0.0,0,0,0,2.0632252463511094,0,2.225446899717109,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S1_smooth_cold2_20260825T133103Z_292235
confirmation_S2_aggressive_cold1_20260825T134031Z_332536,confirmation,S2,medium_3d_diagonal,aggressive,1,c0f-confirm-a-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.9448434594696193,9.0,aggressive,1.100000023841858,1.0,"[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]","[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]",0.8867356777191162,0.3033819794654846,0.3503153324127197,0.017776574793077055,0.02135852910578251,10.035767555236816,0.0,0.0,0,0,0,2.5792018977336633,0,2.2142678016799557,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S2_aggressive_cold1_20260825T134031Z_332536
confirmation_S2_aggressive_cold2_20260825T134133Z_337182,confirmation,S2,medium_3d_diagonal,aggressive,2,c0f-confirm-b-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.94058772752983,9.0,aggressive,1.100000023841858,1.0,"[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]","[[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842],[1.649999976158142,1.649999976158142,1.9249999523162842]]","[[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25],[5.5,5.5,8.25]]",0.8828968405723572,0.3020685613155365,0.3487987518310547,0.01922736828176484,0.01400358509272337,10.03654670715332,0.0,0.0,0,0,0,2.8667540270257517,0,2.229466456776782,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S2_aggressive_cold2_20260825T134133Z_337182
confirmation_S2_normal_cold1_20260825T133825Z_323167,confirmation,S2,medium_3d_diagonal,normal,1,c0f-confirm-a-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.943011973926013,9.0,normal,1.0,1.0,"[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]","[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]",0.8850821256637573,0.302816241979599,0.34966209530830383,0.02127181906532971,0.024907561019062996,10.034035682678223,0.0,0.0,0,0,0,2.3872833893795007,0,2.2260437691824935,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S2_normal_cold1_20260825T133825Z_323167
confirmation_S2_normal_cold2_20260825T133927Z_327832,confirmation,S2,medium_3d_diagonal,normal,2,c0f-confirm-b-20260825,fcfaabdecbef9bb0bd622cabe003d5c38cf91fde8ddb4c1f4db60dac6f37333c,paper-current-v10-c0-e-frozen,ladrc_acceleration,True,True,2.942904174951819,9.0,normal,1.0,1.0,"[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]","[[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75],[1.5,1.5,1.75]]","[[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5],[5.0,5.0,7.5]]",0.8849849104881287,0.30278298258781433,0.3496236801147461,0.021508073202866743,0.02205943875014782,10.036003112792969,0.0,0.0,0,0,0,2.5892475494289484,0,2.2282640806460003,0.0,False,True,False,False,True,N/A,PASS,,runtime_raw/confirmation_S2_normal_cold2_20260825T133927Z_327832
