bag_time_ns,is_hover_stable,uav_id
1785137028296920232,False,0
1785137028316932242,False,0
1785137028336923612,False,0
1785137028356914009,False,0
1785137028376992151,False,0
1785137028396923642,False,0
1785137028416936344,False,0
1785137028436949527,False,0
1785137028456954814,False,0
1785137028476974209,False,0
1785137028496954126,False,0
1785137028516974744,False,0
1785137028536959390,False,0
1785137028556959407,False,0
1785137028576984012,False,0
1785137028596944330,False,0
1785137028616972072,False,0
1785137028637001958,False,0
1785137028657000923,False,0
1785137028677022853,False,0
1785137028696981017,False,0
1785137028717013177,False,0
1785137028737001390,False,0
1785137028756975246,False,0
1785137028777012566,False,0
1785137028796982383,False,0
1785137028817036778,False,0
1785137028836994380,False,0
1785137028856988856,False,0
1785137028877019965,False,0
1785137028896984191,False,0
1785137028917017784,False,0
1785137028937003342,False,0
1785137028957001445,False,0
1785137028977082151,False,0
1785137028997017500,False,0
1785137029016990791,False,0
1785137029036987568,False,0
1785137029056990177,False,0
1785137029077019708,False,0
1785137029097001436,False,0
1785137029116999134,False,0
1785137029137023826,False,0
1785137029157001185,False,0
1785137029177024645,False,0
1785137029196996703,False,0
1785137029217023088,False,0
1785137029237034464,False,0
1785137029257035469,False,0
1785137029277031284,False,0
1785137029297020185,False,0
1785137029317007093,False,0
1785137029337010633,False,0
1785137029357012560,False,0
1785137029377040889,False,0
1785137029397004341,False,0
1785137029417033902,False,0
1785137029437026200,False,0
1785137029457016865,False,0
1785137029477058000,False,0
1785137029497035990,False,0
1785137029517045091,False,0
1785137029537035986,False,0
1785137029557028214,False,0
1785137029577056052,False,0
1785137029597030114,False,0
1785137029617055147,False,0
1785137029637056824,False,0
1785137029657060103,False,0
1785137029677069766,False,0
1785137029697040151,False,0
1785137029717052198,False,0
1785137029737057451,False,0
1785137029757076643,False,0
1785137029777084862,False,0
1785137029797103322,False,0
1785137029817077755,False,0
1785137029837073429,False,0
1785137029857075757,False,0
1785137029877092704,False,0
1785137029897093850,False,0
1785137029917086188,False,0
1785137029937078566,False,0
1785137029957097797,False,0
1785137029977189522,False,0
1785137029997117723,False,0
1785137030017120619,False,0
1785137030037121932,False,0
1785137030057102393,False,0
1785137030077142662,False,0
1785137030097102673,False,0
1785137030117108484,False,0
1785137030137101681,False,0
1785137030157094827,False,0
1785137030177131319,False,0
1785137030197105849,False,0
1785137030217126259,False,0
1785137030237110968,False,0
1785137030257119475,False,0
1785137030277139104,False,0
1785137030297115597,False,0
1785137030317102701,False,0
1785137030337124464,False,0
1785137030357173781,False,0
1785137030377200925,False,0
1785137030397117740,False,0
1785137030417173761,False,0
1785137030437143912,False,0
1785137030457166927,False,0
1785137030477205483,False,0
1785137030497128982,False,0
1785137030517158580,False,0
1785137030537157297,False,0
1785137030557149912,False,0
1785137030577196815,False,0
1785137030597149882,False,0
1785137030617165864,False,0
1785137030637151134,False,0
1785137030657188638,False,0
1785137030677265149,False,0
1785137030697175993,False,0
1785137030717226543,False,0
1785137030737193096,False,0
1785137030757186724,False,0
1785137030777187916,False,0
1785137030797204809,False,0
1785137030817200661,False,0
1785137030837249848,False,0
1785137030857199668,False,0
1785137030877204808,False,0
1785137030897246300,False,0
1785137030917205159,False,0
1785137030937186492,False,0
1785137030957236771,False,0
1785137030977275577,False,0
1785137030997211250,False,0
1785137031017235124,False,0
1785137031037244699,False,0
1785137031057200659,False,0
1785137031077253780,False,0
1785137031097222655,False,0
1785137031117229014,False,0
1785137031137214041,False,0
1785137031157238425,False,0
1785137031177239263,False,0
1785137031197212106,False,0
