[INFO] [1788020066.220251502] [uav8.ladrc_position_controller]: 已创建 7 个邻居 Odom 订阅
[INFO] [1788020066.229982355] [uav8.ladrc_position_controller]: LADRC 集群执行节点已初始化 (命名空间: /uav8), ENU偏移=[0.0, 24.0, 0.0]
[INFO] [1788020066.230019685] [uav8.ladrc_position_controller]: 等待 swarm_command 和 vehicle_odometry 消息...
[INFO] [1788020066.230031437] [uav8.ladrc_position_controller]: 控制模式: ladrc_acceleration
[WARN] [1788020066.250146393] [uav8.ladrc_position_controller]: 等待新鲜 VehicleOdometry（startup=WAIT_ESTIMATOR_READY armed=0 offboard=0）
[INFO] [1788020066.274484626] [uav8.ladrc_position_controller]: 已接收到 vehicle_odometry 消息
[INFO] [1788020077.830178584] [uav8.ladrc_position_controller]: 请求 ARM（第 1 次）
[INFO] [1788020077.930172451] [uav8.ladrc_position_controller]: 请求 OFFBOARD（第 1 次）
[INFO] [1788020078.050274256] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,0.01,-0.15] Cmd[-0.1,0.1,4.7]
[INFO] [1788020079.070201018] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.00,0.00,-0.15] Cmd[0.1,-0.0,8.0]
[INFO] [1788020080.070269253] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.06,-0.05,1.02] Cmd[-0.3,0.5,3.2]
[INFO] [1788020081.090186459] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[-0.05,-0.03,1.39] Cmd[0.6,0.1,3.9]
[INFO] [1788020081.730252409] [uav8.ladrc_position_controller]: 自动起飞稳定保持完成，进入 READY
[INFO] [1788020082.090251893] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[-0.04,0.04,1.50] Cmd[0.2,-0.2,3.9]
[INFO] [1788020083.110204930] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.07,0.01,1.80] Cmd[-0.3,0.3,1.5]
[INFO] [1788020084.110250169] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.00,-0.00,1.69] Cmd[0.2,0.2,-1.2]
[INFO] [1788020085.110271414] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.02,0.03,1.59] Cmd[-0.2,-0.1,-0.4]
[INFO] [1788020086.110280860] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.03,0.01,1.50] Cmd[0.0,0.2,0.9]
[INFO] [1788020087.130278188] [uav8.ladrc_position_controller]: UAV8 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,0.00,1.50] Cmd[-0.0,0.1,0.1]
