bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785137763685583643,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137763785577028,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137763885640317,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137763985710639,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764085820092,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764185935517,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764286044058,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764386134745,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764486236473,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
1785137764586349212,8.0,world,685326962,1785137765,3,normal,0.0,6.76393202,6.64885899,5.0,2
