scenario_id,seed,metric,smooth,normal,aggressive,normal_minus_smooth,aggressive_minus_normal,aggressive_minus_smooth
E4A-DIAGONAL-3D,54101,settling_time,5.219036102294922,5.221675395965576,5.313374996185303,0.002639293670654297,0.09169960021972656,0.09433889389038086
E4A-DIAGONAL-3D,54102,settling_time,5.2389233112335205,5.222275972366333,5.260411739349365,-0.0166473388671875,0.03813576698303223,0.021488428115844727
E4A-DIAGONAL-3D,54103,settling_time,5.220627784729004,5.219521522521973,5.359468936920166,-0.00110626220703125,0.13994741439819336,0.1388411521911621
E4A-DIAGONAL-3D,54104,settling_time,5.239838123321533,5.239588737487793,5.21959114074707,-0.0002493858337402344,-0.019997596740722656,-0.02024698257446289
E4A-DIAGONAL-3D,54105,settling_time,5.242283344268799,5.20087194442749,5.320049047470093,-0.041411399841308594,0.11917710304260254,0.07776570320129395
E4A-HORIZONTAL,54101,settling_time,5.120150089263916,5.079092264175415,5.084285020828247,-0.04105782508850098,0.005192756652832031,-0.035865068435668945
E4A-HORIZONTAL,54102,settling_time,5.153623342514038,5.060109615325928,5.079499244689941,-0.09351372718811035,0.019389629364013672,-0.07412409782409668
E4A-HORIZONTAL,54103,settling_time,5.13993239402771,5.039623498916626,5.079428434371948,-0.10030889511108398,0.039804935455322266,-0.06050395965576172
E4A-HORIZONTAL,54104,settling_time,,5.679285049438477,5.100789546966553,,-0.5784955024719238,
E4A-HORIZONTAL,54105,settling_time,5.119826555252075,5.061630487442017,5.082757472991943,-0.058196067810058594,0.021126985549926758,-0.037069082260131836
E4A-VERTICAL,54101,settling_time,4.999550819396973,4.901669025421143,4.899012327194214,-0.09788179397583008,-0.002656698226928711,-0.10053849220275879
E4A-VERTICAL,54102,settling_time,4.959678888320923,4.939336061477661,4.8402228355407715,-0.02034282684326172,-0.09911322593688965,-0.11945605278015137
E4A-VERTICAL,54103,settling_time,4.940274000167847,4.9012291431427,4.859984874725342,-0.039044857025146484,-0.0412442684173584,-0.08028912544250488
E4A-VERTICAL,54104,settling_time,5.019441366195679,4.919504404067993,4.899009943008423,-0.09993696212768555,-0.020494461059570312,-0.12043142318725586
E4A-VERTICAL,54105,settling_time,4.979413032531738,4.839620113372803,,-0.13979291915893555,,
E4A-DIAGONAL-3D,54101,control_effort,6.963800082916844,7.176073954273531,7.3130258899776255,0.21227387135668696,0.13695193570409447,0.34922580706078143
E4A-DIAGONAL-3D,54102,control_effort,6.9188171609987155,7.122273692738283,7.928234743713471,0.20345653173956713,0.8059610509751884,1.0094175827147556
E4A-DIAGONAL-3D,54103,control_effort,7.0188211208981865,7.196320280495984,7.134926947913192,0.17749915959779727,-0.061393332582792226,0.11610582701500505
E4A-DIAGONAL-3D,54104,control_effort,7.025729096317946,7.1354885314608305,7.200447692200266,0.10975943514288478,0.06495916073943508,0.17471859588231986
E4A-DIAGONAL-3D,54105,control_effort,6.915736866993529,7.164752267787424,7.17162971541503,0.24901540079389495,0.006877447627605449,0.2558928484215004
E4A-HORIZONTAL,54101,control_effort,5.870106753641381,6.500941207515591,6.203298664970377,0.6308344538742094,-0.29764254254521383,0.3331919113289956
E4A-HORIZONTAL,54102,control_effort,5.86556245311573,5.997081756433484,6.052143723762681,0.13151930331775397,0.05506196732919655,0.18658127064695051
E4A-HORIZONTAL,54103,control_effort,5.755624971844903,6.444969079561981,6.456882367200736,0.6893441077170781,0.011913287638754433,0.7012573953558325
E4A-HORIZONTAL,54104,control_effort,4.982148350777729,5.815301325943237,6.444652031633703,0.8331529751655076,0.6293507056904666,1.4625036808559742
E4A-HORIZONTAL,54105,control_effort,5.797561848236656,6.190274534598225,6.577795396791949,0.39271268636156886,0.38752086219372384,0.7802335485552927
E4A-VERTICAL,54101,control_effort,2.146251352979743,2.4093733605340235,2.5716273884071503,0.2631220075542804,0.16225402787312682,0.4253760354274072
E4A-VERTICAL,54102,control_effort,2.1094702557397285,2.4966558658300357,2.7019620459715554,0.3871856100903073,0.2053061801415197,0.592491790231827
E4A-VERTICAL,54103,control_effort,2.136686487572285,2.574050426762819,2.6295253564651455,0.4373639391905342,0.05547492970232648,0.49283886889286066
E4A-VERTICAL,54104,control_effort,2.1202490960399953,2.5554620590496118,3.2375954073476403,0.4352129630096164,0.6821333482980285,1.117346311307645
E4A-VERTICAL,54105,control_effort,2.1315184696637783,2.407306151243904,2.648411971671548,0.27578768158012545,0.24110582042764417,0.5168935020077696
E4A-DIAGONAL-3D,54101,acceleration_peak,2.8721585235447433,3.207904739141121,3.5929781335184616,0.3357462155963775,0.3850733943773408,0.7208196099737183
E4A-DIAGONAL-3D,54102,acceleration_peak,2.884752724993426,3.224136251347973,3.950895287078704,0.33938352635454727,0.7267590357307308,1.066142562085278
E4A-DIAGONAL-3D,54103,acceleration_peak,2.8738521063173943,3.1828611317766056,3.2835387412864807,0.3090090254592113,0.10067760950987514,0.4096866349690864
E4A-DIAGONAL-3D,54104,acceleration_peak,2.903032911418724,3.1605881242742857,3.2241083518099134,0.2575552128555616,0.0635202275356277,0.3210754403911893
E4A-DIAGONAL-3D,54105,acceleration_peak,2.8585642131714843,3.1962188112402536,3.2692738491150513,0.3376545980687693,0.07305503787479761,0.4107096359435669
E4A-HORIZONTAL,54101,acceleration_peak,2.5447858287394505,3.048820302341513,3.0271907271878082,0.5040344736020623,-0.02162957515370456,0.48240489844835777
E4A-HORIZONTAL,54102,acceleration_peak,2.5574616581653378,2.7493934483611797,2.93906238764873,0.19193179019584194,0.18966893928755013,0.3816007294833921
E4A-HORIZONTAL,54103,acceleration_peak,2.5085186592615583,3.013762609707726,3.1470107123499846,0.5052439504461677,0.13324810264225873,0.6384920530884264
E4A-HORIZONTAL,54104,acceleration_peak,2.5558356054515485,2.8841998836678067,3.1709922581255756,0.32836427821625813,0.28679237445776895,0.6151566526740271
E4A-HORIZONTAL,54105,acceleration_peak,2.5240450217557044,2.872061030083646,3.178343004999337,0.3480160083279418,0.30628197491569065,0.6542979832436324
E4A-VERTICAL,54101,acceleration_peak,1.7334717076049952,1.9105204004954428,1.9150236518798398,0.17704869289044756,0.004503251384397,0.18155194427484456
E4A-VERTICAL,54102,acceleration_peak,1.5114291340711197,2.01415973707452,2.2173070549550555,0.5027306030034002,0.20314731788053564,0.7058779208839359
E4A-VERTICAL,54103,acceleration_peak,1.5990278012183077,2.2956422594845036,2.0215922702710247,0.696614458266196,-0.2740499892134789,0.42256446905271705
E4A-VERTICAL,54104,acceleration_peak,1.4500500251897468,2.331001519253832,2.727631656855805,0.8809514940640852,0.39663013760197297,1.2775816316660582
E4A-VERTICAL,54105,acceleration_peak,1.6002721744840143,1.9120525733131717,2.066150231223341,0.3117803988291574,0.15409765791016916,0.4658780567393266
E4A-DIAGONAL-3D,54101,acceleration_rms,1.886025789903724,1.952917183604324,2.004533031581184,0.06689139370059993,0.05161584797685981,0.11850724167745974
E4A-DIAGONAL-3D,54102,acceleration_rms,1.8799712800355832,1.943339333272203,2.158742614386864,0.06336805323661987,0.21540328111466112,0.278771334351281
E4A-DIAGONAL-3D,54103,acceleration_rms,1.901957801910551,1.9630266258944047,1.945658485819435,0.061068823983853715,-0.017368140074969673,0.04370068390888404
E4A-DIAGONAL-3D,54104,acceleration_rms,1.9016495361663666,1.9442867259315253,1.9587959504247663,0.042637189765158734,0.01450922449324099,0.057146414258399725
E4A-DIAGONAL-3D,54105,acceleration_rms,1.8786051964486785,1.9530805964946159,1.9478986482357161,0.07447540004593733,-0.005181948258899727,0.06929345178703761
E4A-HORIZONTAL,54101,acceleration_rms,1.6010247672498896,1.7567401374459461,1.6932004135185206,0.15571537019605652,-0.06353972392742557,0.09217564626863095
E4A-HORIZONTAL,54102,acceleration_rms,1.5981424047568118,1.632917288773732,1.660266633120957,0.03477488401692019,0.027349344347225024,0.06212422836414522
E4A-HORIZONTAL,54103,acceleration_rms,1.5730111547982537,1.746148683377713,1.766640354896227,0.1731375285794592,0.020491671518514165,0.19362920009797335
E4A-HORIZONTAL,54104,acceleration_rms,1.4675461159243193,1.6397933718523166,1.7667709384021681,0.17224725592799728,0.1269775665498516,0.2992248224778489
E4A-HORIZONTAL,54105,acceleration_rms,1.5817639127887237,1.6836468894881271,1.7989158695655916,0.10188297669940338,0.11526898007746444,0.21715195677686783
E4A-VERTICAL,54101,acceleration_rms,0.7304623893452167,0.8158479421686331,0.8605865168100751,0.08538555282341642,0.04473857464144204,0.13012412746485846
E4A-VERTICAL,54102,acceleration_rms,0.6997948272172859,0.846500856815092,0.9213380941777803,0.1467060295978061,0.07483723736268832,0.22154326696049442
E4A-VERTICAL,54103,acceleration_rms,0.7070292872952325,0.9070135159752579,0.8902471424226196,0.1999842286800254,-0.016766373552638325,0.18321785512738709
E4A-VERTICAL,54104,acceleration_rms,0.7005673306207242,0.9059171678778892,1.1167604813591347,0.20534983725716505,0.21084331348124552,0.41619315073841057
E4A-VERTICAL,54105,acceleration_rms,0.7036263431622528,0.8129720143271651,0.9024732946238045,0.10934567116491234,0.0895012802966394,0.19884695146155174
E4A-DIAGONAL-3D,54101,acceleration_rise_time,0.7480173110961914,0.7011934518814087,0.7984539270401001,-0.046823859214782715,0.0972604751586914,0.05043661594390869
E4A-DIAGONAL-3D,54102,acceleration_rise_time,0.7205718159675598,0.7596989870071411,0.5181135535240173,0.0391271710395813,-0.24158543348312378,-0.20245826244354248
