bag_time_ns,is_hover_stable,uav_id
1785207858691804283,False,1
1785207858711788142,False,1
1785207858731789092,False,1
1785207858751765146,False,1
1785207858771816913,False,1
1785207858791782838,False,1
1785207858811764392,False,1
1785207858831764622,False,1
1785207858851770632,False,1
1785207858871787172,False,1
1785207858891775178,False,1
1785207858911755220,False,1
1785207858931759687,False,1
1785207858951749427,False,1
1785207858971781837,False,1
1785207858991759724,False,1
1785207859011759293,False,1
1785207859031792353,False,1
1785207859051778346,False,1
1785207859071819542,False,1
1785207859091804262,False,1
1785207859111778803,False,1
1785207859131759475,False,1
1785207859151772248,False,1
1785207859171793055,False,1
1785207859191770552,False,1
1785207859211772474,False,1
1785207859231789996,False,1
1785207859251786358,False,1
1785207859271782609,False,1
1785207859291818686,False,1
1785207859311798036,False,1
1785207859331800369,False,1
1785207859351768828,False,1
1785207859371779106,False,1
1785207859391758266,False,1
1785207859411760669,False,1
1785207859431767901,False,1
1785207859451761738,False,1
1785207859471782005,False,1
1785207859491800659,False,1
1785207859511797452,False,1
1785207859531842244,False,1
1785207859551838035,False,1
1785207859571838615,False,1
1785207859591801885,False,1
1785207859611768070,False,1
1785207859631823553,False,1
1785207859651797092,False,1
1785207859671823550,False,1
1785207859691782001,False,1
1785207859711788091,False,1
1785207859731800944,False,1
1785207859751779142,False,1
1785207859771798356,False,1
1785207859791790140,False,1
1785207859811780130,False,1
1785207859831779527,False,1
1785207859851784756,False,1
1785207859871804572,False,1
1785207859891771458,False,1
1785207859911765435,False,1
1785207859931770844,False,1
1785207859951770292,False,1
1785207859971793845,False,1
1785207859991769548,False,1
1785207860011779094,False,1
1785207860031777740,False,1
1785207860051815309,False,1
1785207860071837389,False,1
1785207860091785450,False,1
1785207860111776241,False,1
1785207860131778444,False,1
1785207860151777440,False,1
1785207860171794270,False,1
1785207860191818043,False,1
1785207860211768709,False,1
1785207860231777494,False,1
1785207860251765830,False,1
1785207860271788812,False,1
1785207860291767119,False,1
1785207860311772668,False,1
1785207860331776774,False,1
1785207860351773687,False,1
1785207860371803802,False,1
1785207860391772722,False,1
1785207860411758033,False,1
1785207860431765244,False,1
1785207860451802553,False,1
1785207860471853747,False,1
1785207860491771191,False,1
1785207860511785757,False,1
1785207860531823335,False,1
1785207860551819517,False,1
1785207860571779710,False,1
1785207860591825875,False,1
1785207860611786740,False,1
1785207860631829709,False,1
1785207860651824929,False,1
1785207860671799289,False,1
1785207860691790080,False,1
1785207860711766604,False,1
1785207860731792652,False,1
1785207860751782832,False,1
1785207860771801295,False,1
1785207860791767780,False,1
1785207860811771325,False,1
1785207860831794197,False,1
1785207860851809574,False,1
1785207860871790717,False,1
1785207860891798229,False,1
1785207860911762811,False,1
1785207860931799869,False,1
1785207860951807722,False,1
1785207860971795438,False,1
1785207860991805124,False,1
1785207861011762102,False,1
1785207861031793388,False,1
1785207861051770504,False,1
1785207861071827829,False,1
1785207861091765861,False,1
1785207861111780366,False,1
1785207861131765667,False,1
1785207861151760104,False,1
1785207861171802181,False,1
1785207861191813401,False,1
1785207861211788221,False,1
1785207861231733887,False,1
1785207861251768120,False,1
1785207861271781022,False,1
1785207861291767074,False,1
1785207861311770428,False,1
1785207861331765457,False,1
1785207861351775103,False,1
1785207861371798205,False,1
1785207861391794025,False,1
1785207861411786198,False,1
1785207861431767241,False,1
1785207861451771928,False,1
1785207861471839162,False,1
1785207861491766995,False,1
1785207861511777112,False,1
1785207861531778112,False,1
1785207861551775344,False,1
1785207861571802233,False,1
1785207861591796611,False,1
1785207861611771091,False,1
1785207861631790395,False,1
1785207861651762270,False,1
1785207861671800079,False,1
1785207861691772125,False,1
1785207861711785989,False,1
1785207861731811275,False,1
1785207861751768893,False,1
1785207861771797415,False,1
1785207861791809215,False,1
1785207861811780519,False,1
1785207861831767242,False,1
1785207861851828946,False,1
1785207861871834705,False,1
1785207861891810868,False,1
1785207861911788234,False,1
1785207861931766611,False,1
1785207861951807566,False,1
1785207861971776546,False,1
1785207861991798425,False,1
1785207862011806158,False,1
1785207862031824831,False,1
1785207862051769935,False,1
1785207862071836839,False,1
1785207862091807441,False,1
1785207862111822768,False,1
1785207862131812346,False,1
1785207862151740359,False,1
1785207862171816028,False,1
1785207862191795197,False,1
1785207862211768555,False,1
1785207862231807265,False,1
1785207862251867075,False,1
1785207862271835674,False,1
1785207862291805726,False,1
1785207862311775196,False,1
1785207862331788569,False,1
1785207862351749523,False,1
1785207862371888753,False,1
1785207862391791197,False,1
1785207862411785354,False,1
1785207862431791854,False,1
1785207862451788215,False,1
1785207862471815544,False,1
1785207862491813678,False,1
1785207862511810169,False,1
1785207862531799968,False,1
1785207862551777043,False,1
1785207862571811936,False,1
1785207862591818346,False,1
1785207862611807213,False,1
1785207862631814845,False,1
1785207862651804563,False,1
1785207862671850667,False,1
1785207862691757430,False,1
1785207862711805769,False,1
1785207862731803783,False,1
1785207862751785767,False,1
1785207862771804450,False,1
1785207862791790681,False,1
1785207862811805768,False,1
1785207862831800746,False,1
1785207862851816674,False,1
1785207862871809658,False,1
1785207862891794968,False,1
1785207862911778515,False,1
1785207862931787650,False,1
1785207862951782729,False,1
1785207862971820537,False,1
1785207862991798043,False,1
1785207863011805925,False,1
1785207863031805402,False,1
1785207863051818063,False,1
1785207863071806709,False,1
1785207863091801857,False,1
1785207863111805522,False,1
1785207863131804758,False,1
1785207863151810626,False,1
1785207863171830391,False,1
1785207863191803237,False,1
1785207863211806471,False,1
1785207863231803222,False,1
1785207863251797539,False,1
1785207863271806453,False,1
1785207863291814075,False,1
1785207863311807270,False,1
1785207863331819690,False,1
1785207863351819608,False,1
1785207863371798576,False,1
1785207863391785278,False,1
1785207863411799723,False,1
1785207863431809148,False,1
1785207863451815547,False,1
1785207863471822618,False,1
1785207863491819239,False,1
1785207863511804960,False,1
1785207863531818362,False,1
1785207863551818109,False,1
1785207863571836421,False,1
1785207863591787226,False,1
1785207863611810988,False,1
1785207863631828589,False,1
1785207863651812025,False,1
1785207863671821550,False,1
1785207863691819193,False,1
1785207863711826675,False,1
1785207863731816313,False,1
1785207863751808756,False,1
1785207863771824954,False,1
1785207863791808681,False,1
1785207863811807095,False,1
1785207863831818074,False,1
1785207863851814364,False,1
1785207863871866389,False,1
1785207863891812656,False,1
1785207863911792876,False,1
1785207863931793244,False,1
1785207863951840510,False,1
1785207863971827974,False,1
1785207863991805359,False,1
1785207864011803403,False,1
1785207864031763465,False,1
1785207864051808557,False,1
1785207864071824103,False,1
1785207864091804614,False,1
1785207864111803759,False,1
1785207864131815979,False,1
1785207864151818441,False,1
1785207864171838446,False,1
1785207864191991861,True,1
1785207864211800218,True,1
1785207864231812118,True,1
1785207864251830189,True,1
1785207864271883416,True,1
1785207864291813221,True,1
1785207864311807267,True,1
1785207864331795051,True,1
1785207864351803134,True,1
1785207864371808160,True,1
1785207864391816373,True,1
1785207864411815979,True,1
1785207864431793414,True,1
1785207864451804171,True,1
1785207864471815880,True,1
1785207864491804416,True,1
1785207864511801388,True,1
1785207864531809991,True,1
1785207864551823303,True,1
1785207864571811528,True,1
1785207864591811926,True,1
1785207864611815159,True,1
1785207864631806901,True,1
1785207864651831244,True,1
1785207864671823887,True,1
1785207864691809687,True,1
1785207864711824372,True,1
1785207864731831042,True,1
1785207864751801233,True,1
1785207864771831467,True,1
1785207864791798272,True,1
1785207864811808198,True,1
1785207864831809988,True,1
1785207864851805587,True,1
1785207864871871317,True,1
1785207864891811302,True,1
1785207864911803474,True,1
1785207864931784736,True,1
1785207864951827554,True,1
1785207864971828773,True,1
1785207864991803293,True,1
1785207865011781689,True,1
1785207865031783689,True,1
1785207865051784087,True,1
1785207865071819029,True,1
1785207865091822082,True,1
1785207865111808123,True,1
1785207865131804452,True,1
1785207865151817414,True,1
1785207865171818282,True,1
1785207865191806507,True,1
1785207865211802666,True,1
1785207865231809186,True,1
1785207865251824521,True,1
1785207865271811223,True,1
1785207865291812943,True,1
1785207865311815445,True,1
1785207865331814259,True,1
1785207865351801893,True,1
1785207865371839941,True,1
1785207865391814771,True,1
1785207865411835857,True,1
1785207865431809965,True,1
1785207865451811024,True,1
1785207865471812273,True,1
1785207865491823521,True,1
1785207865511808460,True,1
1785207865531795472,True,1
1785207865551823832,True,1
1785207865571827206,True,1
1785207865591797446,True,1
1785207865611795259,True,1
1785207865631813340,True,1
1785207865651812315,True,1
1785207865671807072,True,1
1785207865691816196,True,1
1785207865711819048,True,1
1785207865731811180,True,1
1785207865751801599,True,1
1785207865771825561,True,1
1785207865791827922,True,1
1785207865811826556,True,1
1785207865831746964,True,1
1785207865851811301,True,1
1785207865871848478,True,1
1785207865891814150,True,1
1785207865911824797,True,1
1785207865931828060,True,1
1785207865951807118,True,1
1785207865971825489,True,1
1785207865991821127,True,1
1785207866011813019,True,1
1785207866031815801,True,1
1785207866051826307,True,1
1785207866071848555,True,1
1785207866091822954,True,1
1785207866111835283,True,1
1785207866131815172,True,1
1785207866151773150,True,1
1785207866171773727,True,1
1785207866191796026,True,1
1785207866211768481,True,1
1785207866231787373,True,1
1785207866251798169,True,1
1785207866271788748,True,1
1785207866291831665,True,1
1785207866311794512,True,1
1785207866331741359,True,1
1785207866351788664,True,1
1785207866371828936,True,1
1785207866391829644,True,1
1785207866411800015,True,1
1785207866431811393,True,1
1785207866451799317,True,1
1785207866471876939,True,1
1785207866491840737,True,1
1785207866511843359,True,1
1785207866531833807,True,1
1785207866551820399,True,1
1785207866571818341,True,1
1785207866591826183,True,1
1785207866611826760,True,1
1785207866631792913,True,1
1785207866651811865,True,1
1785207866671826249,True,1
1785207866691793704,True,1
1785207866711821453,True,1
1785207866731820448,True,1
1785207866751810656,True,1
1785207866771817816,True,1
1785207866791789890,True,1
1785207866811816236,True,1
1785207866831814138,True,1
1785207866851802242,True,1
1785207866871836173,True,1
1785207866891841088,True,1
1785207866911820566,True,1
1785207866931854096,True,1
1785207866951867618,True,1
1785207866971834713,True,1
1785207866991822807,True,1
1785207867011824116,True,1
1785207867031837016,True,1
1785207867051753796,True,1
1785207867071836047,True,1
1785207867091822097,True,1
1785207867111822504,True,1
1785207867131824353,True,1
1785207867151827115,True,1
1785207867171827642,True,1
1785207867191826075,True,1
1785207867211837142,True,1
1785207867231833131,True,1
1785207867251836253,True,1
1785207867271837752,True,1
1785207867291834432,True,1
1785207867311826062,True,1
1785207867331833322,True,1
1785207867351841313,True,1
1785207867371882006,True,1
1785207867391849341,True,1
1785207867411851642,True,1
1785207867431839836,True,1
1785207867451864829,True,1
1785207867471820922,True,1
1785207867491825437,True,1
1785207867511845261,True,1
1785207867531840989,True,1
1785207867551832429,True,1
1785207867571849337,True,1
1785207867591820870,True,1
1785207867611795689,True,1
1785207867631785826,True,1
1785207867651798336,True,1
1785207867671831024,True,1
1785207867691824918,True,1
1785207867711802132,True,1
1785207867731807197,True,1
1785207867751816481,True,1
1785207867771833099,True,1
1785207867791795544,True,1
1785207867811783919,True,1
1785207867831808822,True,1
1785207867851810060,True,1
1785207867871812531,True,1
1785207867891822967,True,1
1785207867911799910,True,1
1785207867931807550,True,1
1785207867951805402,True,1
1785207867971820667,True,1
1785207867991805295,True,1
1785207868011807294,True,1
1785207868031792102,True,1
1785207868051804852,True,1
1785207868071803806,True,1
1785207868091798201,True,1
1785207868111760546,True,1
1785207868131809223,True,1
1785207868151794442,True,1
1785207868171829664,True,1
1785207868191816715,True,1
1785207868211803807,True,1
1785207868231809764,True,1
1785207868251794341,True,1
1785207868271808523,True,1
1785207868291803650,True,1
1785207868311799218,True,1
1785207868331786470,True,1
1785207868351787528,True,1
1785207868371825134,True,1
1785207868391807968,True,1
1785207868411799207,True,1
1785207868431798211,True,1
1785207868451820178,True,1
1785207868471866361,True,1
1785207868491831361,True,1
1785207868511813193,True,1
1785207868531813159,True,1
1785207868551809278,True,1
1785207868571801860,True,1
1785207868591798389,True,1
1785207868611802563,True,1
1785207868631799393,True,1
1785207868651799188,True,1
1785207868671831815,True,1
1785207868691800593,True,1
1785207868711824704,True,1
1785207868731798190,True,1
1785207868751811000,True,1
1785207868771864125,True,1
1785207868791798338,True,1
1785207868811800458,True,1
1785207868831813658,True,1
1785207868851801722,True,1
1785207868871814512,True,1
1785207868891815429,True,1
1785207868911796259,True,1
1785207868931808027,True,1
1785207868951805739,True,1
1785207868971825412,True,1
1785207868991796844,True,1
1785207869011803001,True,1
1785207869031822784,True,1
1785207869051818091,True,1
1785207869071824829,True,1
1785207869091816800,True,1
1785207869111804482,True,1
1785207869131822532,True,1
1785207869151822918,True,1
1785207869171827522,True,1
1785207869191819743,True,1
1785207869211807686,True,1
1785207869231819694,True,1
1785207869251824188,True,1
1785207869271826498,True,1
1785207869291838156,True,1
1785207869311818705,True,1
1785207869331822668,True,1
1785207869351819698,True,1
1785207869371839030,True,1
1785207869391828496,True,1
